Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,2305843009213693952,310,3350,3660,2305843009213690279,2.852
Removed,1,2305843009213693952,310,3350,3660,2305843009213690279,2.816
Removed,2,2305843009213693952,310,3350,3660,2305843009213690279,2.8173
Removed,3,2305843009213693952,310,3350,3660,2305843009213690279,2.8413
Removed,4,2305843009213693952,310,3350,3660,2305843009213690279,2.8171
Removed,5,2305843009213693952,310,3350,3660,2305843009213690279,2.78
Removed,6,2305843009213693952,310,3350,3660,2305843009213690279,2.7585
Removed,7,2305843009213693952,310,3350,3660,2305843009213690279,2.7902
Removed,8,2305843009213693952,310,3350,3660,2305843009213690279,2.8204
Removed,9,2305843009213693952,310,3350,3660,2305843009213690279,2.7695
Removed,10,2305843009213693952,310,3350,3660,2305843009213690279,2.8153
Removed,11,2305843009213693952,310,3350,3660,2305843009213690279,2.7569
Removed,12,2305843009213693952,310,3350,3660,2305843009213690279,2.8263
Removed,13,2305843009213693952,310,3350,3660,2305843009213690279,2.7719
Removed,14,2305843009213693952,310,3350,3660,2305843009213690279,2.7971
Removed,15,2305843009213693952,310,3350,3660,2305843009213690279,2.8277
Removed,16,2305843009213693952,310,3350,3660,2305843009213690279,2.7956
Removed,17,2305843009213693952,310,3350,3660,2305843009213690279,2.7864
Removed,18,2305843009213693952,310,3350,3660,2305843009213690279,2.8435
Removed,19,2305843009213693952,310,3350,3660,2305843009213690279,2.7656
Removed,20,2305843009213693952,310,3350,3660,2305843009213690279,2.7805
Removed,21,2305843009213693952,310,3350,3660,2305843009213690279,2.7748
Removed,22,2305843009213693952,310,3350,3660,2305843009213690279,2.8199
Removed,23,2305843009213693952,310,3350,3660,2305843009213690279,2.8095
Removed,24,2305843009213693952,310,3350,3660,2305843009213690279,2.7856
Removed,25,2305843009213693952,310,3350,3660,2305843009213690279,2.8184
Removed,26,2305843009213693952,310,3350,3660,2305843009213690279,2.8188
Removed,27,2305843009213693952,310,3350,3660,2305843009213690279,2.8035
Removed,28,2305843009213693952,310,3350,3660,2305843009213690279,2.8206
Removed,29,2305843009213693952,310,3350,3660,2305843009213690279,2.7421
Removed,30,2305843009213693952,310,3350,3660,2305843009213690279,2.7877
