Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,1099511627776,0,1,1,1099511627774,0
Genetic,1,1099511627776,0,1,1,1099511627774,0
Genetic,2,1099511627776,0,1,1,1099511627774,0
Genetic,3,1099511627776,0,1,1,1099511627774,0
Genetic,4,1099511627776,0,1,1,1099511627774,0
Genetic,5,1099511627776,0,1,1,1099511627774,0
Genetic,6,1099511627776,0,1,1,1099511627774,0
Genetic,7,1099511627776,0,1,1,1099511627774,0
Genetic,8,1099511627776,47,3593,3640,1099511624136,2.3204
Genetic,9,1099511627776,8,726,734,1099511627042,0.4214
Genetic,10,1099511627776,9,1923,1932,1099511625844,1.2243
Genetic,11,1099511627776,53,3036,3089,1099511624687,1.9651
Genetic,12,1099511627776,47,2233,2280,1099511625496,1.4689
Genetic,13,1099511627776,40,2382,2422,1099511625354,1.7065
Genetic,14,1099511627776,33,2221,2254,1099511625522,1.6946
Genetic,15,1099511627776,0,1,1,1099511627774,0
Genetic,16,1099511627776,41,5594,5635,1099511622141,3.6905
Genetic,17,1099511627776,47,2004,2051,1099511625725,1.3763
Genetic,18,1099511627776,39,2970,3009,1099511624767,1.9156
Genetic,19,1099511627776,12,703,715,1099511627061,0.4822
Genetic,20,1099511627776,33,2021,2054,1099511625722,1.371
Genetic,21,1099511627776,0,1,1,1099511627774,0
Genetic,22,1099511627776,0,1,1,1099511627774,0
Genetic,23,1099511627776,19,1598,1617,1099511626159,0.9399
Genetic,24,1099511627776,37,3027,3064,1099511624712,2.1914
Genetic,25,1099511627776,0,1,1,1099511627774,0
Genetic,26,1099511627776,23,2526,2549,1099511625227,1.6902
Genetic,27,1099511627776,47,2308,2355,1099511625421,1.8853
Genetic,28,1099511627776,19,1475,1494,1099511626282,0.8978
Genetic,29,1099511627776,47,1339,1386,1099511626390,0.9439
Genetic,30,1099511627776,29,2375,2404,1099511625372,1.5773
