Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,1099511627776,17,458,475,1099511627301,0.4285
Normal,1,1099511627776,17,458,475,1099511627301,0.4167
Normal,2,1099511627776,17,458,475,1099511627301,0.4845
Normal,3,1099511627776,17,458,475,1099511627301,0.5463
Normal,4,1099511627776,17,458,475,1099511627301,0.4053
Normal,5,1099511627776,17,458,475,1099511627301,0.4455
Normal,6,1099511627776,17,458,475,1099511627301,0.4708
Normal,7,1099511627776,17,458,475,1099511627301,0.3954
Normal,8,1099511627776,17,458,475,1099511627301,0.3842
Normal,9,1099511627776,17,458,475,1099511627301,0.4537
Normal,10,1099511627776,17,458,475,1099511627301,0.5525
Normal,11,1099511627776,17,458,475,1099511627301,0.585
Normal,12,1099511627776,17,458,475,1099511627301,0.4964
Normal,13,1099511627776,17,458,475,1099511627301,0.4111
Normal,14,1099511627776,17,458,475,1099511627301,0.411
Normal,15,1099511627776,17,458,475,1099511627301,0.474
Normal,16,1099511627776,17,458,475,1099511627301,0.4194
Normal,17,1099511627776,17,458,475,1099511627301,0.395
Normal,18,1099511627776,17,458,475,1099511627301,0.4054
Normal,19,1099511627776,17,458,475,1099511627301,0.4254
Normal,20,1099511627776,17,458,475,1099511627301,0.4284
Normal,21,1099511627776,17,458,475,1099511627301,0.4638
Normal,22,1099511627776,17,458,475,1099511627301,0.4493
Normal,23,1099511627776,17,458,475,1099511627301,0.4878
Normal,24,1099511627776,17,458,475,1099511627301,0.5289
Normal,25,1099511627776,17,458,475,1099511627301,0.5312
Normal,26,1099511627776,17,458,475,1099511627301,0.4877
Normal,27,1099511627776,17,458,475,1099511627301,0.4111
Normal,28,1099511627776,17,458,475,1099511627301,0.4606
Normal,29,1099511627776,17,458,475,1099511627301,0.399
Normal,30,1099511627776,17,458,475,1099511627301,0.5664
