Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,1099511627776,0,1,1,1099511627774,0
Random,1,1099511627776,1,96,97,1099511627679,0.1864
Random,2,1099511627776,10,494,504,1099511627272,0.7536
Random,3,1099511627776,6,319,325,1099511627451,0.2965
Random,4,1099511627776,0,1,1,1099511627774,0
Random,5,1099511627776,0,1,1,1099511627774,0
Random,6,1099511627776,45,4005,4050,1099511623726,2.9222
Random,7,1099511627776,9,1298,1307,1099511626469,0.9387
Random,8,1099511627776,6,371,377,1099511627399,0.3267
Random,9,1099511627776,0,1,1,1099511627774,0
Random,10,1099511627776,3,217,220,1099511627556,0.1754
Random,11,1099511627776,0,1,1,1099511627774,0
Random,12,1099511627776,3,153,156,1099511627620,0.3217
Random,13,1099511627776,0,98,98,1099511627678,0.2303
Random,14,1099511627776,0,22,22,1099511627754,0.1236
Random,15,1099511627776,18,824,842,1099511626934,0.973
Random,16,1099511627776,8,1686,1694,1099511626082,1.5374
Random,17,1099511627776,0,1,1,1099511627774,0
Random,18,1099511627776,0,140,140,1099511627636,0.2714
Random,19,1099511627776,0,1,1,1099511627774,0
Random,20,1099511627776,4,380,384,1099511627392,0.3278
Random,21,1099511627776,1,91,92,1099511627684,0.1823
Random,22,1099511627776,6,365,371,1099511627405,0.4414
Random,23,1099511627776,10,659,669,1099511627107,0.7418
Random,24,1099511627776,2,137,139,1099511627637,0.2128
Random,25,1099511627776,0,1,1,1099511627774,0
Random,26,1099511627776,0,1,1,1099511627774,0
Random,27,1099511627776,0,1,1,1099511627774,0
Random,28,1099511627776,7,251,258,1099511627518,0.3548
Random,29,1099511627776,6,511,517,1099511627259,0.5224
Random,30,1099511627776,19,1286,1305,1099511626471,1.2516
