Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,1099511627776,9,640,649,1099511627127,0.4792
Removed,1,1099511627776,9,640,649,1099511627127,0.4569
Removed,2,1099511627776,9,640,649,1099511627127,0.46
Removed,3,1099511627776,9,640,649,1099511627127,0.4581
Removed,4,1099511627776,9,640,649,1099511627127,0.437
Removed,5,1099511627776,9,640,649,1099511627127,0.4643
Removed,6,1099511627776,9,640,649,1099511627127,0.5094
Removed,7,1099511627776,9,640,649,1099511627127,0.4941
Removed,8,1099511627776,9,640,649,1099511627127,0.5647
Removed,9,1099511627776,9,640,649,1099511627127,0.4166
Removed,10,1099511627776,9,640,649,1099511627127,0.4104
Removed,11,1099511627776,9,640,649,1099511627127,0.4279
Removed,12,1099511627776,9,640,649,1099511627127,0.4112
Removed,13,1099511627776,9,640,649,1099511627127,0.4036
Removed,14,1099511627776,9,640,649,1099511627127,0.4338
Removed,15,1099511627776,9,640,649,1099511627127,0.411
Removed,16,1099511627776,9,640,649,1099511627127,0.4567
Removed,17,1099511627776,9,640,649,1099511627127,0.4121
Removed,18,1099511627776,9,640,649,1099511627127,0.4046
Removed,19,1099511627776,9,640,649,1099511627127,0.4144
Removed,20,1099511627776,9,640,649,1099511627127,0.422
Removed,21,1099511627776,9,640,649,1099511627127,0.4131
Removed,22,1099511627776,9,640,649,1099511627127,0.4746
Removed,23,1099511627776,9,640,649,1099511627127,0.4625
Removed,24,1099511627776,9,640,649,1099511627127,0.4727
Removed,25,1099511627776,9,640,649,1099511627127,0.4544
Removed,26,1099511627776,9,640,649,1099511627127,0.46
Removed,27,1099511627776,9,640,649,1099511627127,0.4775
Removed,28,1099511627776,9,640,649,1099511627127,0.461
Removed,29,1099511627776,9,640,649,1099511627127,0.5175
Removed,30,1099511627776,9,640,649,1099511627127,0.4443
