Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,17592186044416,79,6436,6515,17592186037889,2.3295
Genetic,1,17592186044416,79,5821,5900,17592186038504,1.9237
Genetic,2,17592186044416,79,7660,7739,17592186036665,2.3257
Genetic,3,17592186044416,79,3934,4013,17592186040389,2.071
Genetic,4,17592186044416,79,3811,3890,17592186040513,1.4776
Genetic,5,17592186044416,79,5170,5249,17592186039154,1.5927
Genetic,6,17592186044416,79,5155,5234,17592186039169,1.9209
Genetic,7,17592186044416,79,3425,3504,17592186040899,1.1416
Genetic,8,17592186044416,79,5305,5384,17592186039018,2.3204
Genetic,9,17592186044416,79,4978,5057,17592186039347,1.4289
Genetic,10,17592186044416,79,6689,6768,17592186037636,2.0533
Genetic,11,17592186044416,79,4548,4627,17592186039777,1.9651
Genetic,12,17592186044416,79,3450,3529,17592186040873,1.4689
Genetic,13,17592186044416,79,5109,5188,17592186039215,1.7065
Genetic,14,17592186044416,79,3984,4063,17592186040341,1.6946
Genetic,15,17592186044416,79,6555,6634,17592186037768,3.6035
Genetic,16,17592186044416,79,8582,8661,17592186035743,3.6905
Genetic,17,17592186044416,79,2921,3000,17592186041402,1.3763
Genetic,18,17592186044416,79,5048,5127,17592186039276,1.9156
Genetic,19,17592186044416,79,4874,4953,17592186039451,2.2724
Genetic,20,17592186044416,79,4193,4272,17592186040132,1.371
Genetic,21,17592186044416,79,7699,7778,17592186036626,3.0892
Genetic,22,17592186044416,79,4920,4999,17592186039405,1.9388
Genetic,23,17592186044416,79,7195,7274,17592186037129,2.3446
Genetic,24,17592186044416,79,6158,6237,17592186038167,2.1914
Genetic,25,17592186044416,79,6657,6736,17592186037668,2.3502
Genetic,26,17592186044416,79,5264,5343,17592186039061,1.6902
Genetic,27,17592186044416,79,3320,3399,17592186041003,1.8853
Genetic,28,17592186044416,79,5187,5266,17592186039137,1.6934
Genetic,29,17592186044416,79,2087,2166,17592186042236,0.9439
Genetic,30,17592186044416,79,4996,5075,17592186039329,1.5773
