Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,17592186044416,79,3430,3509,17592186040901,0.9118
Normal,1,17592186044416,79,3430,3509,17592186040901,0.9843
Normal,2,17592186044416,79,3430,3509,17592186040901,1.0387
Normal,3,17592186044416,79,3430,3509,17592186040901,1.1014
Normal,4,17592186044416,79,3430,3509,17592186040901,0.9312
Normal,5,17592186044416,79,3430,3509,17592186040901,0.9763
Normal,6,17592186044416,79,3430,3509,17592186040901,0.9515
Normal,7,17592186044416,79,3430,3509,17592186040901,1.0293
Normal,8,17592186044416,79,3430,3509,17592186040901,0.9676
Normal,9,17592186044416,79,3430,3509,17592186040901,0.9221
Normal,10,17592186044416,79,3430,3509,17592186040901,1.151
Normal,11,17592186044416,79,3430,3509,17592186040901,1.0511
Normal,12,17592186044416,79,3430,3509,17592186040901,0.9888
Normal,13,17592186044416,79,3430,3509,17592186040901,0.9362
Normal,14,17592186044416,79,3430,3509,17592186040901,0.8989
Normal,15,17592186044416,79,3430,3509,17592186040901,0.9946
Normal,16,17592186044416,79,3430,3509,17592186040901,0.9057
Normal,17,17592186044416,79,3430,3509,17592186040901,0.9105
Normal,18,17592186044416,79,3430,3509,17592186040901,0.8702
Normal,19,17592186044416,79,3430,3509,17592186040901,1.0886
Normal,20,17592186044416,79,3430,3509,17592186040901,0.9133
Normal,21,17592186044416,79,3430,3509,17592186040901,1.003
Normal,22,17592186044416,79,3430,3509,17592186040901,1.0849
Normal,23,17592186044416,79,3430,3509,17592186040901,1.0304
Normal,24,17592186044416,79,3430,3509,17592186040901,1.1776
Normal,25,17592186044416,79,3430,3509,17592186040901,1.1164
Normal,26,17592186044416,79,3430,3509,17592186040901,1.0481
Normal,27,17592186044416,79,3430,3509,17592186040901,1.0098
Normal,28,17592186044416,79,3430,3509,17592186040901,0.9337
Normal,29,17592186044416,79,3430,3509,17592186040901,1.0723
Normal,30,17592186044416,79,3430,3509,17592186040901,1.1145
