Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,17592186044416,79,10850,10929,17592186033477,4.4258
Random,1,17592186044416,79,7709,7788,17592186036624,2.0152
Random,2,17592186044416,79,6306,6385,17592186038031,1.3846
Random,3,17592186044416,79,5343,5422,17592186038984,1.569
Random,4,17592186044416,79,4659,4738,17592186039674,1.4856
Random,5,17592186044416,79,10531,10610,17592186033802,2.0927
Random,6,17592186044416,79,6589,6668,17592186037737,2.9222
Random,7,17592186044416,79,6503,6582,17592186037824,1.421
Random,8,17592186044416,79,6581,6660,17592186037749,1.5616
Random,9,17592186044416,79,5580,5659,17592186038750,1.2334
Random,10,17592186044416,79,7292,7371,17592186037037,1.4193
Random,11,17592186044416,79,6258,6337,17592186038069,1.7911
Random,12,17592186044416,79,4449,4528,17592186039888,1.1097
Random,13,17592186044416,79,4888,4967,17592186039449,1.0821
Random,14,17592186044416,79,4983,5062,17592186039354,1.1986
Random,15,17592186044416,79,3767,3846,17592186040566,0.973
Random,16,17592186044416,79,12561,12640,17592186031768,2.6397
Random,17,17592186044416,79,7772,7851,17592186036561,1.9508
Random,18,17592186044416,79,5021,5100,17592186039312,1.243
Random,19,17592186044416,79,9162,9241,17592186035171,3.1348
Random,20,17592186044416,79,4873,4952,17592186039454,1.3576
Random,21,17592186044416,79,9615,9694,17592186034718,2.6684
Random,22,17592186044416,79,3998,4077,17592186040331,1.2598
Random,23,17592186044416,79,4354,4433,17592186039979,0.8664
Random,24,17592186044416,79,7539,7618,17592186036794,1.9505
Random,25,17592186044416,79,7763,7842,17592186036566,1.5809
Random,26,17592186044416,79,9462,9541,17592186034868,2.5425
Random,27,17592186044416,79,4866,4945,17592186039463,1.1475
Random,28,17592186044416,79,6094,6173,17592186038239,1.1355
Random,29,17592186044416,79,7080,7159,17592186037253,1.4928
Random,30,17592186044416,79,5509,5588,17592186038828,1.2516
