Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,17592186044416,79,2954,3033,17592186041370,1.6646
Removed,1,17592186044416,79,2954,3033,17592186041370,1.6716
Removed,2,17592186044416,79,2954,3033,17592186041370,1.7332
Removed,3,17592186044416,79,2954,3033,17592186041370,1.6994
Removed,4,17592186044416,79,2954,3033,17592186041370,1.569
Removed,5,17592186044416,79,2954,3033,17592186041370,1.6407
Removed,6,17592186044416,79,2954,3033,17592186041370,1.7557
Removed,7,17592186044416,79,2954,3033,17592186041370,1.706
Removed,8,17592186044416,79,2954,3033,17592186041370,1.674
Removed,9,17592186044416,79,2954,3033,17592186041370,1.4543
Removed,10,17592186044416,79,2954,3033,17592186041370,1.5289
Removed,11,17592186044416,79,2954,3033,17592186041370,1.5881
Removed,12,17592186044416,79,2954,3033,17592186041370,1.4467
Removed,13,17592186044416,79,2954,3033,17592186041370,1.4562
Removed,14,17592186044416,79,2954,3033,17592186041370,1.4792
Removed,15,17592186044416,79,2954,3033,17592186041370,1.5009
Removed,16,17592186044416,79,2954,3033,17592186041370,1.5598
Removed,17,17592186044416,79,2954,3033,17592186041370,1.4466
Removed,18,17592186044416,79,2954,3033,17592186041370,1.5146
Removed,19,17592186044416,79,2954,3033,17592186041370,1.5159
Removed,20,17592186044416,79,2954,3033,17592186041370,1.5835
Removed,21,17592186044416,79,2954,3033,17592186041370,1.427
Removed,22,17592186044416,79,2954,3033,17592186041370,1.5601
Removed,23,17592186044416,79,2954,3033,17592186041370,1.6095
Removed,24,17592186044416,79,2954,3033,17592186041370,1.6492
Removed,25,17592186044416,79,2954,3033,17592186041370,1.5958
Removed,26,17592186044416,79,2954,3033,17592186041370,1.5986
Removed,27,17592186044416,79,2954,3033,17592186041370,1.7582
Removed,28,17592186044416,79,2954,3033,17592186041370,1.5962
Removed,29,17592186044416,79,2954,3033,17592186041370,1.5968
Removed,30,17592186044416,79,2954,3033,17592186041370,1.5514
