Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,137438953472,27648,179321,206969,137438746503,344.6948
Removed,1,137438953472,27648,179321,206969,137438746503,343.7664
Removed,2,137438953472,27648,179321,206969,137438746503,342.5152
Removed,3,137438953472,27648,179321,206969,137438746503,347.2431
Removed,4,137438953472,27648,179321,206969,137438746503,343.2014
Removed,5,137438953472,27648,179321,206969,137438746503,344.9515
Removed,6,137438953472,27648,179321,206969,137438746503,342.552
Removed,7,137438953472,27648,179321,206969,137438746503,342.3364
Removed,8,137438953472,27648,179321,206969,137438746503,341.2212
Removed,9,137438953472,27648,179321,206969,137438746503,342.0156
Removed,10,137438953472,27648,179321,206969,137438746503,345.7817
Removed,11,137438953472,27648,179321,206969,137438746503,338.5008
Removed,12,137438953472,27648,179321,206969,137438746503,346.5224
Removed,13,137438953472,27648,179321,206969,137438746503,341.8161
Removed,14,137438953472,27648,179321,206969,137438746503,341.7131
Removed,15,137438953472,27648,179321,206969,137438746503,341.4395
Removed,16,137438953472,27648,179321,206969,137438746503,340.069
Removed,17,137438953472,27648,179321,206969,137438746503,339.6126
Removed,18,137438953472,27648,179321,206969,137438746503,344.0956
Removed,19,137438953472,27648,179321,206969,137438746503,341.2297
Removed,20,137438953472,27648,179321,206969,137438746503,342.6905
Removed,21,137438953472,27648,179321,206969,137438746503,341.2755
Removed,22,137438953472,27648,179321,206969,137438746503,341.9173
Removed,23,137438953472,27648,179321,206969,137438746503,339.0041
Removed,24,137438953472,27648,179321,206969,137438746503,337.5524
Removed,25,137438953472,27648,179321,206969,137438746503,345.186
Removed,26,137438953472,27648,179321,206969,137438746503,339.6733
Removed,27,137438953472,27648,179321,206969,137438746503,342.3578
Removed,28,137438953472,27648,179321,206969,137438746503,341.2694
Removed,29,137438953472,27648,179321,206969,137438746503,337.9039
Removed,30,137438953472,27648,179321,206969,137438746503,338.7994
