Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,137438953472,0,1,1,137438953470,0
Genetic,1,137438953472,70272,175469,245741,137438707731,872.1159
Genetic,2,137438953472,37152,79060,116212,137438837260,475.5927
Genetic,3,137438953472,79488,411061,490549,137438462923,1758.4574
Genetic,4,137438953472,0,1,1,137438953470,0
Genetic,5,137438953472,0,1,1,137438953470,0
Genetic,6,137438953472,0,1,1,137438953470,0
Genetic,7,137438953472,0,1,1,137438953470,0
Genetic,8,137438953472,37152,44163,81315,137438872157,346.9398
Genetic,9,137438953472,0,1,1,137438953470,0
Genetic,10,137438953472,0,1,1,137438953470,0
Genetic,11,137438953472,0,1,1,137438953470,0
Genetic,12,137438953472,0,1,1,137438953470,0
Genetic,13,137438953472,0,1,1,137438953470,0
Genetic,14,137438953472,77760,568402,646162,137438307310,2333.5181
Genetic,15,137438953472,20736,78967,99703,137438853769,206.8179
Genetic,16,137438953472,0,1,1,137438953470,0
Genetic,17,137438953472,0,1,1,137438953470,0
Genetic,18,137438953472,0,1,1,137438953470,0
Genetic,19,137438953472,0,1,1,137438953470,0
Genetic,20,137438953472,0,1,1,137438953470,0
Genetic,21,137438953472,0,1,1,137438953470,0
Genetic,22,137438953472,18576,28923,47499,137438905973,200.028
Genetic,23,137438953472,0,1,1,137438953470,0
Genetic,24,137438953472,0,1,1,137438953470,0
Genetic,25,137438953472,0,1,1,137438953470,0
Genetic,26,137438953472,0,1,1,137438953470,0
Genetic,27,137438953472,0,1,1,137438953470,0
Genetic,28,137438953472,0,1,1,137438953470,0
Genetic,29,137438953472,37152,112100,149252,137438804220,611.2958
Genetic,30,137438953472,0,1,1,137438953470,0
