Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,137438953472,12348,89068,101416,137438852056,765.2618
Normal,1,137438953472,12348,89068,101416,137438852056,820.1683
Normal,2,137438953472,12348,89068,101416,137438852056,808.7985
Normal,3,137438953472,12348,89068,101416,137438852056,806.8925
Normal,4,137438953472,12348,89068,101416,137438852056,770.3059
Normal,5,137438953472,12348,89068,101416,137438852056,766.1689
Normal,6,137438953472,12348,89068,101416,137438852056,761.0371
Normal,7,137438953472,12348,89068,101416,137438852056,814.2698
Normal,8,137438953472,12348,89068,101416,137438852056,764.8077
Normal,9,137438953472,12348,89068,101416,137438852056,807.3994
Normal,10,137438953472,12348,89068,101416,137438852056,812.8738
Normal,11,137438953472,12348,89068,101416,137438852056,762.6446
Normal,12,137438953472,12348,89068,101416,137438852056,841.3664
Normal,13,137438953472,12348,89068,101416,137438852056,819.9504
Normal,14,137438953472,12348,89068,101416,137438852056,773.5481
Normal,15,137438953472,12348,89068,101416,137438852056,767.5203
Normal,16,137438953472,12348,89068,101416,137438852056,812.806
Normal,17,137438953472,12348,89068,101416,137438852056,813.6088
Normal,18,137438953472,12348,89068,101416,137438852056,763.934
Normal,19,137438953472,12348,89068,101416,137438852056,765.1599
Normal,20,137438953472,12348,89068,101416,137438852056,766.6825
Normal,21,137438953472,12348,89068,101416,137438852056,820.1424
Normal,22,137438953472,12348,89068,101416,137438852056,762.9909
Normal,23,137438953472,12348,89068,101416,137438852056,782.1414
Normal,24,137438953472,12348,89068,101416,137438852056,757.1733
Normal,25,137438953472,12348,89068,101416,137438852056,815.0932
Normal,26,137438953472,12348,89068,101416,137438852056,807.2568
Normal,27,137438953472,12348,89068,101416,137438852056,765.567
Normal,28,137438953472,12348,89068,101416,137438852056,807.586
Normal,29,137438953472,12348,89068,101416,137438852056,846.805
Normal,30,137438953472,12348,89068,101416,137438852056,816.4469
