Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,137438953472,3888,102353,106241,137438847231,625.3036
Random,1,137438953472,20160,185979,206139,137438747333,976.9412
Random,2,137438953472,1728,24021,25749,137438927723,121.7092
Random,3,137438953472,50112,300596,350708,137438602764,1270.9006
Random,4,137438953472,3408,62576,65984,137438887488,797.7905
Random,5,137438953472,2160,16869,19029,137438934443,180.436
Random,6,137438953472,13824,49736,63560,137438889912,493.4607
Random,7,137438953472,2304,14244,16548,137438936924,102.2243
Random,8,137438953472,4032,28861,32893,137438920579,298.3716
Random,9,137438953472,10584,86749,97333,137438856139,734.2213
Random,10,137438953472,4752,29280,34032,137438919440,327.4046
Random,11,137438953472,6480,34684,41164,137438912308,350.6569
Random,12,137438953472,0,1,1,137438953470,0
Random,13,137438953472,0,16170,16170,137438937302,198.7761
Random,14,137438953472,5184,66824,72008,137438881464,827.028
Random,15,137438953472,7392,72239,79631,137438873841,709.7269
Random,16,137438953472,0,1,1,137438953470,0
Random,17,137438953472,13248,68888,82136,137438871336,578.9075
Random,18,137438953472,0,1,1,137438953470,0
Random,19,137438953472,0,1,1,137438953470,0
Random,20,137438953472,12384,63653,76037,137438877435,372.7977
Random,21,137438953472,0,1,1,137438953470,0
Random,22,137438953472,5184,40520,45704,137438907768,370.3261
Random,23,137438953472,7560,95027,102587,137438850885,1109.2548
Random,24,137438953472,15840,68028,83868,137438869604,517.3667
Random,25,137438953472,3240,16505,19745,137438933727,262.1055
Random,26,137438953472,32400,150888,183288,137438770184,766.3795
Random,27,137438953472,2592,26346,28938,137438924534,344.6186
Random,28,137438953472,23328,57200,80528,137438872944,502.2662
Random,29,137438953472,17280,241448,258728,137438694744,1114.1054
Random,30,137438953472,12096,18639,30735,137438922737,255.2437
