Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,2199023255552,163728,1020874,1184602,2199022070936,3024.3633
Genetic,1,2199023255552,163728,414636,578364,2199022677176,872.1159
Genetic,2,2199023255552,163728,349546,513274,2199022742265,1054.0469
Genetic,3,2199023255552,163728,888952,1052680,2199022202860,1758.4574
Genetic,4,2199023255552,163728,855724,1019452,2199022236088,1267.7099
Genetic,5,2199023255552,163728,277287,441015,2199022814523,1229.8176
Genetic,6,2199023255552,163728,679778,843506,2199022412032,2276.8661
Genetic,7,2199023255552,163728,1505086,1668814,2199021586725,2498.8014
Genetic,8,2199023255552,163728,218493,382221,2199022873318,766.0886
Genetic,9,2199023255552,163728,521079,684807,2199022570731,1464.2682
Genetic,10,2199023255552,163728,1662302,1826030,2199021429508,4760.0886
Genetic,11,2199023255552,163728,623598,787326,2199022468212,2147.5275
Genetic,12,2199023255552,163728,797346,961074,2199022294464,2361.9312
Genetic,13,2199023255552,163728,877516,1041244,2199022214294,2478.9766
Genetic,14,2199023255552,163728,1148852,1312580,2199021942960,2333.5181
Genetic,15,2199023255552,163728,562370,726098,2199022529442,1572.6716
Genetic,16,2199023255552,163728,518676,682404,2199022573136,1045.4543
Genetic,17,2199023255552,163728,635230,798958,2199022456580,2147.8494
Genetic,18,2199023255552,163728,730316,894044,2199022361496,1583.3368
Genetic,19,2199023255552,163728,265456,429184,2199022826356,667.6771
Genetic,20,2199023255552,163728,1738486,1902214,2199021353324,4915.5986
Genetic,21,2199023255552,163728,656864,820592,2199022434946,2151.9108
Genetic,22,2199023255552,163728,231526,395254,2199022860285,1061.1742
Genetic,23,2199023255552,163728,872522,1036250,2199022219288,2741.252
Genetic,24,2199023255552,163728,284484,448212,2199022807326,1139.597
Genetic,25,2199023255552,163728,555993,719721,2199022535817,1791.6076
Genetic,26,2199023255552,163728,763876,927604,2199022327936,1514.3364
Genetic,27,2199023255552,163728,1126468,1290196,2199021965342,3448.0017
Genetic,28,2199023255552,163728,701540,865268,2199022390270,2110.2087
Genetic,29,2199023255552,163728,492977,656705,2199022598834,1285.3571
Genetic,30,2199023255552,163728,525430,689158,2199022566380,1875.5078
