Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,2199023255552,163728,1225072,1388800,2199021866752,1261.8062
Normal,1,2199023255552,163728,1225072,1388800,2199021866752,1282.426
Normal,2,2199023255552,163728,1225072,1388800,2199021866752,1249.3538
Normal,3,2199023255552,163728,1225072,1388800,2199021866752,1270.6474
Normal,4,2199023255552,163728,1225072,1388800,2199021866752,1248.0773
Normal,5,2199023255552,163728,1225072,1388800,2199021866752,1251.5606
Normal,6,2199023255552,163728,1225072,1388800,2199021866752,1252.6477
Normal,7,2199023255552,163728,1225072,1388800,2199021866752,1256.927
Normal,8,2199023255552,163728,1225072,1388800,2199021866752,1293.6753
Normal,9,2199023255552,163728,1225072,1388800,2199021866752,1265.2621
Normal,10,2199023255552,163728,1225072,1388800,2199021866752,1279.6397
Normal,11,2199023255552,163728,1225072,1388800,2199021866752,1243.2548
Normal,12,2199023255552,163728,1225072,1388800,2199021866752,1254.7149
Normal,13,2199023255552,163728,1225072,1388800,2199021866752,1257.9974
Normal,14,2199023255552,163728,1225072,1388800,2199021866752,1267.5453
Normal,15,2199023255552,163728,1225072,1388800,2199021866752,1250.0277
Normal,16,2199023255552,163728,1225072,1388800,2199021866752,1246.1167
Normal,17,2199023255552,163728,1225072,1388800,2199021866752,1242.7945
Normal,18,2199023255552,163728,1225072,1388800,2199021866752,1285.6176
Normal,19,2199023255552,163728,1225072,1388800,2199021866752,1246.7067
Normal,20,2199023255552,163728,1225072,1388800,2199021866752,1277.6085
Normal,21,2199023255552,163728,1225072,1388800,2199021866752,1285.4521
Normal,22,2199023255552,163728,1225072,1388800,2199021866752,1282.6617
Normal,23,2199023255552,163728,1225072,1388800,2199021866752,1295.704
Normal,24,2199023255552,163728,1225072,1388800,2199021866752,1244.5409
Normal,25,2199023255552,163728,1225072,1388800,2199021866752,1274.5744
Normal,26,2199023255552,163728,1225072,1388800,2199021866752,1277.4793
Normal,27,2199023255552,163728,1225072,1388800,2199021866752,1289.4088
Normal,28,2199023255552,163728,1225072,1388800,2199021866752,1254.6331
Normal,29,2199023255552,163728,1225072,1388800,2199021866752,1259.1753
Normal,30,2199023255552,163728,1225072,1388800,2199021866752,1271.4392
