Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,2199023255552,163728,1193512,1357240,2199021898308,1066.3607
Random,1,2199023255552,163728,1519984,1683712,2199021571840,1519.8553
Random,2,2199023255552,163728,1386624,1550352,2199021705200,1481.7372
Random,3,2199023255552,163728,987696,1151424,2199022104124,1270.9006
Random,4,2199023255552,163728,2015312,2179040,2199021076512,1745.1604
Random,5,2199023255552,163728,993764,1157492,2199022098056,1118.6969
Random,6,2199023255552,163728,539452,703180,2199022552368,686.993
Random,7,2199023255552,163728,689688,853416,2199022402136,736.1027
Random,8,2199023255552,163728,1379976,1543704,2199021711848,1533.6323
Random,9,2199023255552,163728,1262128,1425856,2199021829696,1282.1453
Random,10,2199023255552,163728,1124308,1288036,2199021967512,1162.5589
Random,11,2199023255552,163728,759032,922760,2199022332792,715.8816
Random,12,2199023255552,163728,875397,1039125,2199022216417,1305.1678
Random,13,2199023255552,163728,1152468,1316196,2199021939356,1137.312
Random,14,2199023255552,163728,2530608,2694336,2199020561216,2096.001
Random,15,2199023255552,163728,1180104,1343832,2199021911720,1112.8066
Random,16,2199023255552,163728,728112,891840,2199022363700,924.2076
Random,17,2199023255552,163728,835212,998940,2199022256608,964.0528
Random,18,2199023255552,163728,1043848,1207576,2199022047972,962.3304
Random,19,2199023255552,163728,967146,1130874,2199022124668,978.8848
Random,20,2199023255552,163728,783608,947336,2199022308208,921.3949
Random,21,2199023255552,163728,896056,1059784,2199022195760,1317.1545
Random,22,2199023255552,163728,998092,1161820,2199022093728,1055.2589
Random,23,2199023255552,163728,2084000,2247728,2199021007824,1882.4649
Random,24,2199023255552,163728,507556,671284,2199022584264,594.5654
Random,25,2199023255552,163728,828516,992244,2199022263308,801.1894
Random,26,2199023255552,163728,889892,1053620,2199022201928,938.7794
Random,27,2199023255552,163728,1246280,1410008,2199021845544,1226.1793
Random,28,2199023255552,163728,549632,713360,2199022542188,516.3138
Random,29,2199023255552,163728,1844874,2008602,2199021246946,1916.6433
Random,30,2199023255552,163728,216366,380094,2199022875458,374.6281
