Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,2199023255552,163728,990303,1154031,2199022101507,2392.0218
Removed,1,2199023255552,163728,990303,1154031,2199022101507,2415.0998
Removed,2,2199023255552,163728,990303,1154031,2199022101507,2385.8967
Removed,3,2199023255552,163728,990303,1154031,2199022101507,2393.3069
Removed,4,2199023255552,163728,990303,1154031,2199022101507,2410.546
Removed,5,2199023255552,163728,990303,1154031,2199022101507,2393.9443
Removed,6,2199023255552,163728,990303,1154031,2199022101507,2390.7423
Removed,7,2199023255552,163728,990303,1154031,2199022101507,2402.3366
Removed,8,2199023255552,163728,990303,1154031,2199022101507,2415.6105
Removed,9,2199023255552,163728,990303,1154031,2199022101507,2392.9772
Removed,10,2199023255552,163728,990303,1154031,2199022101507,2381.6541
Removed,11,2199023255552,163728,990303,1154031,2199022101507,2388.6772
Removed,12,2199023255552,163728,990303,1154031,2199022101507,2412.3702
Removed,13,2199023255552,163728,990303,1154031,2199022101507,2437.1833
Removed,14,2199023255552,163728,990303,1154031,2199022101507,2439.8006
Removed,15,2199023255552,163728,990303,1154031,2199022101507,2389.1429
Removed,16,2199023255552,163728,990303,1154031,2199022101507,2407.7961
Removed,17,2199023255552,163728,990303,1154031,2199022101507,2382.7692
Removed,18,2199023255552,163728,990303,1154031,2199022101507,2408.8768
Removed,19,2199023255552,163728,990303,1154031,2199022101507,2404.3217
Removed,20,2199023255552,163728,990303,1154031,2199022101507,2392.252
Removed,21,2199023255552,163728,990303,1154031,2199022101507,2426.0201
Removed,22,2199023255552,163728,990303,1154031,2199022101507,2434.6691
Removed,23,2199023255552,163728,990303,1154031,2199022101507,2401.4907
Removed,24,2199023255552,163728,990303,1154031,2199022101507,2368.681
Removed,25,2199023255552,163728,990303,1154031,2199022101507,2409.607
Removed,26,2199023255552,163728,990303,1154031,2199022101507,2411.4618
Removed,27,2199023255552,163728,990303,1154031,2199022101507,2374.7819
Removed,28,2199023255552,163728,990303,1154031,2199022101507,2382.4602
Removed,29,2199023255552,163728,990303,1154031,2199022101507,2420.4827
Removed,30,2199023255552,163728,990303,1154031,2199022101507,2394.1833
