Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,8,8,0,8,0,0.0029
Genetic,1,8,8,0,8,0,0.0029
Genetic,2,8,8,0,8,0,0.0028
Genetic,3,8,8,0,8,0,0.0028
Genetic,4,8,8,0,8,0,0.0029
Genetic,5,8,8,0,8,0,0.0028
Genetic,6,8,8,0,8,0,0.0029
Genetic,7,8,8,0,8,0,0.0045
Genetic,8,8,8,0,8,0,0.0028
Genetic,9,8,8,0,8,0,0.0028
Genetic,10,8,8,0,8,0,0.0029
Genetic,11,8,8,0,8,0,0.0031
Genetic,12,8,8,0,8,0,0.0029
Genetic,13,8,8,0,8,0,0.0029
Genetic,14,8,8,0,8,0,0.0029
Genetic,15,8,8,0,8,0,0.0029
Genetic,16,8,8,0,8,0,0.0029
Genetic,17,8,8,0,8,0,0.0029
Genetic,18,8,8,0,8,0,0.0029
Genetic,19,8,8,0,8,0,0.0028
Genetic,20,8,8,0,8,0,0.0029
Genetic,21,8,8,0,8,0,0.0028
Genetic,22,8,8,0,8,0,0.0029
Genetic,23,8,8,0,8,0,0.0029
Genetic,24,8,8,0,8,0,0.0029
Genetic,25,8,8,0,8,0,0.0028
Genetic,26,8,8,0,8,0,0.0029
Genetic,27,8,8,0,8,0,0.0028
Genetic,28,8,8,0,8,0,0.0029
Genetic,29,8,8,0,8,0,0.0029
Genetic,30,8,8,0,8,0,0.0029
