Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,8,8,0,8,0,0.0027
Removed,1,8,8,0,8,0,0.0029
Removed,2,8,8,0,8,0,0.0026
Removed,3,8,8,0,8,0,0.0026
Removed,4,8,8,0,8,0,0.0026
Removed,5,8,8,0,8,0,0.0027
Removed,6,8,8,0,8,0,0.0027
Removed,7,8,8,0,8,0,0.0026
Removed,8,8,8,0,8,0,0.0027
Removed,9,8,8,0,8,0,0.0027
Removed,10,8,8,0,8,0,0.0027
Removed,11,8,8,0,8,0,0.0027
Removed,12,8,8,0,8,0,0.0042
Removed,13,8,8,0,8,0,0.0028
Removed,14,8,8,0,8,0,0.0034
Removed,15,8,8,0,8,0,0.0025
Removed,16,8,8,0,8,0,0.0026
Removed,17,8,8,0,8,0,0.0027
Removed,18,8,8,0,8,0,0.0025
Removed,19,8,8,0,8,0,0.0026
Removed,20,8,8,0,8,0,0.0027
Removed,21,8,8,0,8,0,0.0027
Removed,22,8,8,0,8,0,0.0027
Removed,23,8,8,0,8,0,0.0026
Removed,24,8,8,0,8,0,0.0028
Removed,25,8,8,0,8,0,0.0027
Removed,26,8,8,0,8,0,0.0025
Removed,27,8,8,0,8,0,0.0027
Removed,28,8,8,0,8,0,0.0027
Removed,29,8,8,0,8,0,0.0026
Removed,30,8,8,0,8,0,0.0027
