Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,8,8,0,8,0,0.0027
Normal,1,8,8,0,8,0,0.0027
Normal,2,8,8,0,8,0,0.0027
Normal,3,8,8,0,8,0,0.0027
Normal,4,8,8,0,8,0,0.0027
Normal,5,8,8,0,8,0,0.0027
Normal,6,8,8,0,8,0,0.0026
Normal,7,8,8,0,8,0,0.0027
Normal,8,8,8,0,8,0,0.0027
Normal,9,8,8,0,8,0,0.0027
Normal,10,8,8,0,8,0,0.0027
Normal,11,8,8,0,8,0,0.0026
Normal,12,8,8,0,8,0,0.0031
Normal,13,8,8,0,8,0,0.0028
Normal,14,8,8,0,8,0,0.0027
Normal,15,8,8,0,8,0,0.0027
Normal,16,8,8,0,8,0,0.0026
Normal,17,8,8,0,8,0,0.0027
Normal,18,8,8,0,8,0,0.0026
Normal,19,8,8,0,8,0,0.0026
Normal,20,8,8,0,8,0,0.0027
Normal,21,8,8,0,8,0,0.0027
Normal,22,8,8,0,8,0,0.0027
Normal,23,8,8,0,8,0,0.0027
Normal,24,8,8,0,8,0,0.0027
Normal,25,8,8,0,8,0,0.0028
Normal,26,8,8,0,8,0,0.0026
Normal,27,8,8,0,8,0,0.0026
Normal,28,8,8,0,8,0,0.0027
Normal,29,8,8,0,8,0,0.0027
Normal,30,8,8,0,8,0,0.0026
