Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,8,8,0,8,0,0.0027
Random,1,8,8,0,8,0,0.0026
Random,2,8,8,0,8,0,0.0027
Random,3,8,8,0,8,0,0.0027
Random,4,8,8,0,8,0,0.0027
Random,5,8,8,0,8,0,0.0026
Random,6,8,8,0,8,0,0.0027
Random,7,8,8,0,8,0,0.0027
Random,8,8,8,0,8,0,0.0027
Random,9,8,8,0,8,0,0.0027
Random,10,8,8,0,8,0,0.0027
Random,11,8,8,0,8,0,0.0027
Random,12,8,8,0,8,0,0.0026
Random,13,8,8,0,8,0,0.0027
Random,14,8,8,0,8,0,0.0026
Random,15,8,8,0,8,0,0.0026
Random,16,8,8,0,8,0,0.0029
Random,17,8,8,0,8,0,0.0027
Random,18,8,8,0,8,0,0.0027
Random,19,8,8,0,8,0,0.0029
Random,20,8,8,0,8,0,0.0027
Random,21,8,8,0,8,0,0.0027
Random,22,8,8,0,8,0,0.0027
Random,23,8,8,0,8,0,0.0026
Random,24,8,8,0,8,0,0.0027
Random,25,8,8,0,8,0,0.0028
Random,26,8,8,0,8,0,0.0025
Random,27,8,8,0,8,0,0.0027
Random,28,8,8,0,8,0,0.0028
Random,29,8,8,0,8,0,0.0026
Random,30,8,8,0,8,0,0.0026
