Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,144115188075855872,25,3257,3282,144115188075852590,4.2193
Genetic,1,144115188075855872,24,3935,3959,144115188075851913,4.6692
Genetic,2,144115188075855872,25,2938,2963,144115188075852909,3.6983
Genetic,3,144115188075855872,30,3445,3475,144115188075852397,4.2071
Genetic,4,144115188075855872,25,2289,2314,144115188075853558,2.9334
Genetic,5,144115188075855872,20,1986,2006,144115188075853866,2.5551
Genetic,6,144115188075855872,24,4224,4248,144115188075851624,5.1767
Genetic,7,144115188075855872,24,4005,4029,144115188075851843,4.6128
Genetic,8,144115188075855872,24,2559,2583,144115188075853289,3.3196
Genetic,9,144115188075855872,25,3876,3901,144115188075851971,4.3396
Genetic,10,144115188075855872,25,3530,3555,144115188075852317,4.2139
Genetic,11,144115188075855872,30,4796,4826,144115188075851046,5.5839
Genetic,12,144115188075855872,25,3823,3848,144115188075852024,4.6304
Genetic,13,144115188075855872,25,2432,2457,144115188075853415,3.0067
Genetic,14,144115188075855872,24,2812,2836,144115188075853036,3.5566
Genetic,15,144115188075855872,30,4892,4922,144115188075850950,5.9212
Genetic,16,144115188075855872,30,5048,5078,144115188075850794,5.7786
Genetic,17,144115188075855872,24,4467,4491,144115188075851381,5.1421
Genetic,18,144115188075855872,30,4142,4172,144115188075851700,4.819
Genetic,19,144115188075855872,24,2338,2362,144115188075853510,2.94
Genetic,20,144115188075855872,24,2966,2990,144115188075852882,3.7691
Genetic,21,144115188075855872,30,4087,4117,144115188075851755,4.9286
Genetic,22,144115188075855872,25,4003,4028,144115188075851844,4.8278
Genetic,23,144115188075855872,25,4782,4807,144115188075851065,5.7554
Genetic,24,144115188075855872,30,3390,3420,144115188075852452,4.0759
Genetic,25,144115188075855872,25,4347,4372,144115188075851500,5.2077
Genetic,26,144115188075855872,24,2503,2527,144115188075853345,3.1756
Genetic,27,144115188075855872,24,4095,4119,144115188075851753,5.0085
Genetic,28,144115188075855872,25,3007,3032,144115188075852840,3.777
Genetic,29,144115188075855872,30,4709,4739,144115188075851133,5.4059
Genetic,30,144115188075855872,24,2289,2313,144115188075853559,2.9539
