Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,144115188075855872,0,1,1,144115188075855870,0
Removed,1,144115188075855872,0,1,1,144115188075855870,0
Removed,2,144115188075855872,0,1,1,144115188075855870,0
Removed,3,144115188075855872,0,1,1,144115188075855870,0
Removed,4,144115188075855872,0,1,1,144115188075855870,0
Removed,5,144115188075855872,0,1,1,144115188075855870,0
Removed,6,144115188075855872,0,1,1,144115188075855870,0
Removed,7,144115188075855872,0,1,1,144115188075855870,0
Removed,8,144115188075855872,0,1,1,144115188075855870,0
Removed,9,144115188075855872,0,1,1,144115188075855870,0
Removed,10,144115188075855872,0,1,1,144115188075855870,0
Removed,11,144115188075855872,0,1,1,144115188075855870,0
Removed,12,144115188075855872,0,1,1,144115188075855870,0
Removed,13,144115188075855872,0,1,1,144115188075855870,0
Removed,14,144115188075855872,0,1,1,144115188075855870,0
Removed,15,144115188075855872,0,1,1,144115188075855870,0
Removed,16,144115188075855872,0,1,1,144115188075855870,0
Removed,17,144115188075855872,0,1,1,144115188075855870,0
Removed,18,144115188075855872,0,1,1,144115188075855870,0
Removed,19,144115188075855872,0,1,1,144115188075855870,0
Removed,20,144115188075855872,0,1,1,144115188075855870,0
Removed,21,144115188075855872,0,1,1,144115188075855870,0
Removed,22,144115188075855872,0,1,1,144115188075855870,0
Removed,23,144115188075855872,0,1,1,144115188075855870,0
Removed,24,144115188075855872,0,1,1,144115188075855870,0
Removed,25,144115188075855872,0,1,1,144115188075855870,0
Removed,26,144115188075855872,0,1,1,144115188075855870,0
Removed,27,144115188075855872,0,1,1,144115188075855870,0
Removed,28,144115188075855872,0,1,1,144115188075855870,0
Removed,29,144115188075855872,0,1,1,144115188075855870,0
Removed,30,144115188075855872,0,1,1,144115188075855870,0
