Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,144115188075855872,6,621,627,144115188075855245,0.914
Normal,1,144115188075855872,6,621,627,144115188075855245,0.8938
Normal,2,144115188075855872,6,621,627,144115188075855245,0.8891
Normal,3,144115188075855872,6,621,627,144115188075855245,0.895
Normal,4,144115188075855872,6,621,627,144115188075855245,0.8979
Normal,5,144115188075855872,6,621,627,144115188075855245,0.8877
Normal,6,144115188075855872,6,621,627,144115188075855245,0.895
Normal,7,144115188075855872,6,621,627,144115188075855245,0.8924
Normal,8,144115188075855872,6,621,627,144115188075855245,0.8998
Normal,9,144115188075855872,6,621,627,144115188075855245,0.8845
Normal,10,144115188075855872,6,621,627,144115188075855245,0.8999
Normal,11,144115188075855872,6,621,627,144115188075855245,0.8949
Normal,12,144115188075855872,6,621,627,144115188075855245,0.8841
Normal,13,144115188075855872,6,621,627,144115188075855245,0.8986
Normal,14,144115188075855872,6,621,627,144115188075855245,0.8872
Normal,15,144115188075855872,6,621,627,144115188075855245,0.8897
Normal,16,144115188075855872,6,621,627,144115188075855245,0.8927
Normal,17,144115188075855872,6,621,627,144115188075855245,0.8929
Normal,18,144115188075855872,6,621,627,144115188075855245,0.8802
Normal,19,144115188075855872,6,621,627,144115188075855245,0.8879
Normal,20,144115188075855872,6,621,627,144115188075855245,0.8931
Normal,21,144115188075855872,6,621,627,144115188075855245,0.895
Normal,22,144115188075855872,6,621,627,144115188075855245,0.8958
Normal,23,144115188075855872,6,621,627,144115188075855245,0.8855
Normal,24,144115188075855872,6,621,627,144115188075855245,0.8839
Normal,25,144115188075855872,6,621,627,144115188075855245,0.8857
Normal,26,144115188075855872,6,621,627,144115188075855245,0.8786
Normal,27,144115188075855872,6,621,627,144115188075855245,0.8852
Normal,28,144115188075855872,6,621,627,144115188075855245,0.8903
Normal,29,144115188075855872,6,621,627,144115188075855245,0.8898
Normal,30,144115188075855872,6,621,627,144115188075855245,0.9056
