Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,144115188075855872,0,1,1,144115188075855870,0
Random,1,144115188075855872,1,1032,1033,144115188075854839,1.2711
Random,2,144115188075855872,0,1,1,144115188075855870,0
Random,3,144115188075855872,0,1,1,144115188075855870,0
Random,4,144115188075855872,4,895,899,144115188075854973,1.8358
Random,5,144115188075855872,0,1024,1024,144115188075854848,1.6627
Random,6,144115188075855872,0,1,1,144115188075855870,0
Random,7,144115188075855872,0,1,1,144115188075855870,0
Random,8,144115188075855872,0,138,138,144115188075855734,0.2538
Random,9,144115188075855872,3,704,707,144115188075855165,1.388
Random,10,144115188075855872,0,1,1,144115188075855870,0
Random,11,144115188075855872,4,1434,1438,144115188075854434,1.7263
Random,12,144115188075855872,0,29,29,144115188075855843,0.1022
Random,13,144115188075855872,0,1,1,144115188075855870,0
Random,14,144115188075855872,0,1,1,144115188075855870,0
Random,15,144115188075855872,0,1,1,144115188075855870,0
Random,16,144115188075855872,16,1759,1775,144115188075854097,2.5896
Random,17,144115188075855872,0,1,1,144115188075855870,0
Random,18,144115188075855872,0,1,1,144115188075855870,0
Random,19,144115188075855872,0,1,1,144115188075855870,0
Random,20,144115188075855872,0,1,1,144115188075855870,0
Random,21,144115188075855872,0,1,1,144115188075855870,0
Random,22,144115188075855872,4,1268,1272,144115188075854600,1.4201
Random,23,144115188075855872,0,1,1,144115188075855870,0
Random,24,144115188075855872,0,1,1,144115188075855870,0
Random,25,144115188075855872,5,1315,1320,144115188075854552,1.6703
Random,26,144115188075855872,0,1,1,144115188075855870,0
Random,27,144115188075855872,0,1,1,144115188075855870,0
Random,28,144115188075855872,15,1243,1258,144115188075854614,1.7282
Random,29,144115188075855872,1,803,804,144115188075855068,1.3987
Random,30,144115188075855872,0,1220,1220,144115188075854652,1.2195
