Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,2305843009213693952,30,3758,3788,2305843009213690150,4.2193
Genetic,1,2305843009213693952,30,4489,4519,2305843009213689419,4.6692
Genetic,2,2305843009213693952,30,5118,5148,2305843009213688790,3.6983
Genetic,3,2305843009213693952,30,3460,3490,2305843009213690447,4.2071
Genetic,4,2305843009213693952,30,4054,4084,2305843009213689854,2.9334
Genetic,5,2305843009213693952,30,3331,3361,2305843009213690578,2.5551
Genetic,6,2305843009213693952,30,5517,5547,2305843009213688391,5.1767
Genetic,7,2305843009213693952,30,5378,5408,2305843009213688530,4.6128
Genetic,8,2305843009213693952,30,3561,3591,2305843009213690347,3.3196
Genetic,9,2305843009213693952,30,4577,4607,2305843009213689331,4.3396
Genetic,10,2305843009213693952,30,4528,4558,2305843009213689380,4.2139
Genetic,11,2305843009213693952,30,4811,4841,2305843009213689096,5.5839
Genetic,12,2305843009213693952,30,5627,5657,2305843009213688281,4.6304
Genetic,13,2305843009213693952,30,3592,3622,2305843009213690316,3.0067
Genetic,14,2305843009213693952,30,4299,4329,2305843009213689609,3.5566
Genetic,15,2305843009213693952,30,4907,4937,2305843009213689000,5.9212
Genetic,16,2305843009213693952,30,5063,5093,2305843009213688844,5.7786
Genetic,17,2305843009213693952,30,7423,7453,2305843009213686485,5.1421
Genetic,18,2305843009213693952,30,4157,4187,2305843009213689750,4.819
Genetic,19,2305843009213693952,30,3450,3480,2305843009213690458,2.94
Genetic,20,2305843009213693952,30,4794,4824,2305843009213689114,3.7691
Genetic,21,2305843009213693952,30,4102,4132,2305843009213689805,4.9286
Genetic,22,2305843009213693952,30,5713,5743,2305843009213688195,4.8278
Genetic,23,2305843009213693952,30,5785,5815,2305843009213688123,5.7554
Genetic,24,2305843009213693952,30,3405,3435,2305843009213690502,4.0759
Genetic,25,2305843009213693952,30,5619,5649,2305843009213688289,5.2077
Genetic,26,2305843009213693952,30,4617,4647,2305843009213689291,3.1756
Genetic,27,2305843009213693952,30,7012,7042,2305843009213686896,5.0085
Genetic,28,2305843009213693952,30,5606,5636,2305843009213688302,3.777
Genetic,29,2305843009213693952,30,4724,4754,2305843009213689183,5.4059
Genetic,30,2305843009213693952,30,3958,3988,2305843009213689950,2.9539
