Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,2305843009213693952,30,3080,3110,2305843009213690830,2.5927
Normal,1,2305843009213693952,30,3080,3110,2305843009213690830,2.5265
Normal,2,2305843009213693952,30,3080,3110,2305843009213690830,2.5028
Normal,3,2305843009213693952,30,3080,3110,2305843009213690830,2.5322
Normal,4,2305843009213693952,30,3080,3110,2305843009213690830,2.5309
Normal,5,2305843009213693952,30,3080,3110,2305843009213690830,2.5114
Normal,6,2305843009213693952,30,3080,3110,2305843009213690830,2.547
Normal,7,2305843009213693952,30,3080,3110,2305843009213690830,2.5287
Normal,8,2305843009213693952,30,3080,3110,2305843009213690830,2.5796
Normal,9,2305843009213693952,30,3080,3110,2305843009213690830,2.5556
Normal,10,2305843009213693952,30,3080,3110,2305843009213690830,2.53
Normal,11,2305843009213693952,30,3080,3110,2305843009213690830,2.5519
Normal,12,2305843009213693952,30,3080,3110,2305843009213690830,2.5008
Normal,13,2305843009213693952,30,3080,3110,2305843009213690830,2.554
Normal,14,2305843009213693952,30,3080,3110,2305843009213690830,2.5219
Normal,15,2305843009213693952,30,3080,3110,2305843009213690830,2.5413
Normal,16,2305843009213693952,30,3080,3110,2305843009213690830,2.5564
Normal,17,2305843009213693952,30,3080,3110,2305843009213690830,2.5318
Normal,18,2305843009213693952,30,3080,3110,2305843009213690830,2.5049
Normal,19,2305843009213693952,30,3080,3110,2305843009213690830,2.5339
Normal,20,2305843009213693952,30,3080,3110,2305843009213690830,2.5317
Normal,21,2305843009213693952,30,3080,3110,2305843009213690830,2.5449
Normal,22,2305843009213693952,30,3080,3110,2305843009213690830,2.549
Normal,23,2305843009213693952,30,3080,3110,2305843009213690830,2.5485
Normal,24,2305843009213693952,30,3080,3110,2305843009213690830,2.5131
Normal,25,2305843009213693952,30,3080,3110,2305843009213690830,2.5206
Normal,26,2305843009213693952,30,3080,3110,2305843009213690830,2.5365
Normal,27,2305843009213693952,30,3080,3110,2305843009213690830,2.5076
Normal,28,2305843009213693952,30,3080,3110,2305843009213690830,2.5248
Normal,29,2305843009213693952,30,3080,3110,2305843009213690830,2.5915
Normal,30,2305843009213693952,30,3080,3110,2305843009213690830,2.5699
