Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,2305843009213693952,30,6683,6713,2305843009213687227,3.537
Random,1,2305843009213693952,30,9249,9279,2305843009213684665,2.2144
Random,2,2305843009213693952,30,5917,5947,2305843009213687993,3.502
Random,3,2305843009213693952,30,6438,6468,2305843009213687476,1.9936
Random,4,2305843009213693952,30,7710,7740,2305843009213686212,2.0076
Random,5,2305843009213693952,30,8982,9012,2305843009213684932,2.3971
Random,6,2305843009213693952,30,6124,6154,2305843009213687784,5.0127
Random,7,2305843009213693952,30,7457,7487,2305843009213686457,2.0312
Random,8,2305843009213693952,30,5366,5396,2305843009213688556,1.4571
Random,9,2305843009213693952,30,6414,6444,2305843009213687508,1.5695
Random,10,2305843009213693952,30,6160,6190,2305843009213687750,3.1622
Random,11,2305843009213693952,30,8458,8488,2305843009213685456,2.9073
Random,12,2305843009213693952,30,4671,4701,2305843009213689251,1.6147
Random,13,2305843009213693952,30,8594,8624,2305843009213685320,2.5942
Random,14,2305843009213693952,30,8151,8181,2305843009213685761,2.0704
Random,15,2305843009213693952,30,8427,8457,2305843009213685487,2.7329
Random,16,2305843009213693952,30,7472,7502,2305843009213686442,2.5896
Random,17,2305843009213693952,30,8596,8626,2305843009213685318,2.3932
Random,18,2305843009213693952,30,5917,5947,2305843009213687997,1.8296
Random,19,2305843009213693952,30,5579,5609,2305843009213688335,1.7172
Random,20,2305843009213693952,30,8005,8035,2305843009213685909,2.6217
Random,21,2305843009213693952,30,5292,5322,2305843009213688622,2.4774
Random,22,2305843009213693952,30,9665,9695,2305843009213684249,2.4329
Random,23,2305843009213693952,30,6347,6377,2305843009213687567,2.2755
Random,24,2305843009213693952,30,4367,4397,2305843009213689543,2.3112
Random,25,2305843009213693952,30,6264,6294,2305843009213687650,1.9539
Random,26,2305843009213693952,30,10057,10087,2305843009213683853,4.2112
Random,27,2305843009213693952,30,8350,8380,2305843009213685558,6.4014
Random,28,2305843009213693952,30,4486,4516,2305843009213689428,1.7282
Random,29,2305843009213693952,30,8382,8412,2305843009213685532,2.4403
Random,30,2305843009213693952,30,8980,9010,2305843009213684930,4.4379
