Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,2305843009213693952,30,2747,2777,2305843009213691160,3.7351
Removed,1,2305843009213693952,30,2747,2777,2305843009213691160,3.7346
Removed,2,2305843009213693952,30,2747,2777,2305843009213691160,3.8215
Removed,3,2305843009213693952,30,2747,2777,2305843009213691160,3.6917
Removed,4,2305843009213693952,30,2747,2777,2305843009213691160,3.7094
Removed,5,2305843009213693952,30,2747,2777,2305843009213691160,3.7213
Removed,6,2305843009213693952,30,2747,2777,2305843009213691160,3.7997
Removed,7,2305843009213693952,30,2747,2777,2305843009213691160,3.6884
Removed,8,2305843009213693952,30,2747,2777,2305843009213691160,3.6962
Removed,9,2305843009213693952,30,2747,2777,2305843009213691160,3.7353
Removed,10,2305843009213693952,30,2747,2777,2305843009213691160,3.7436
Removed,11,2305843009213693952,30,2747,2777,2305843009213691160,3.7452
Removed,12,2305843009213693952,30,2747,2777,2305843009213691160,3.7105
Removed,13,2305843009213693952,30,2747,2777,2305843009213691160,3.7119
Removed,14,2305843009213693952,30,2747,2777,2305843009213691160,3.7923
Removed,15,2305843009213693952,30,2747,2777,2305843009213691160,3.7286
Removed,16,2305843009213693952,30,2747,2777,2305843009213691160,3.7319
Removed,17,2305843009213693952,30,2747,2777,2305843009213691160,3.7452
Removed,18,2305843009213693952,30,2747,2777,2305843009213691160,3.787
Removed,19,2305843009213693952,30,2747,2777,2305843009213691160,3.763
Removed,20,2305843009213693952,30,2747,2777,2305843009213691160,3.7851
Removed,21,2305843009213693952,30,2747,2777,2305843009213691160,3.7516
Removed,22,2305843009213693952,30,2747,2777,2305843009213691160,3.7405
Removed,23,2305843009213693952,30,2747,2777,2305843009213691160,3.6854
Removed,24,2305843009213693952,30,2747,2777,2305843009213691160,3.7194
Removed,25,2305843009213693952,30,2747,2777,2305843009213691160,3.7711
Removed,26,2305843009213693952,30,2747,2777,2305843009213691160,3.7458
Removed,27,2305843009213693952,30,2747,2777,2305843009213691160,3.7172
Removed,28,2305843009213693952,30,2747,2777,2305843009213691160,3.7963
Removed,29,2305843009213693952,30,2747,2777,2305843009213691160,3.733
Removed,30,2305843009213693952,30,2747,2777,2305843009213691160,3.708
