Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,32,16,16,32,0,0.0049
Random,1,32,16,16,32,0,0.0051
Random,2,32,16,16,32,0,0.0057
Random,3,32,16,10,26,6,0.0048
Random,4,32,16,8,24,8,0.004
Random,5,32,16,8,24,8,0.004
Random,6,32,16,10,26,6,0.0042
Random,7,32,16,16,32,0,0.0059
Random,8,32,16,8,24,8,0.0039
Random,9,32,16,8,24,8,0.0039
Random,10,32,16,8,24,8,0.0041
Random,11,32,16,7,23,9,0.004
Random,12,32,16,16,32,0,0.0051
Random,13,32,16,16,32,0,0.0049
Random,14,32,16,6,22,10,0.0038
Random,15,32,16,7,23,9,0.004
Random,16,32,16,8,24,8,0.0043
Random,17,32,16,8,24,8,0.004
Random,18,32,16,10,26,6,0.0043
Random,19,32,16,16,32,0,0.005
Random,20,32,16,8,24,8,0.0041
Random,21,32,16,16,32,0,0.0051
Random,22,32,16,10,26,6,0.0042
Random,23,32,16,10,26,6,0.0042
Random,24,32,16,10,26,6,0.0044
Random,25,32,16,10,26,6,0.0043
Random,26,32,16,9,25,7,0.0042
Random,27,32,16,7,23,9,0.0039
Random,28,32,16,8,24,8,0.004
Random,29,32,16,10,26,6,0.0044
Random,30,32,16,6,22,10,0.0036
