Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,32,16,10,26,6,0.0048
Genetic,1,32,16,16,32,0,0.0055
Genetic,2,32,16,10,26,6,0.0049
Genetic,3,32,16,10,26,6,0.0047
Genetic,4,32,16,10,26,6,0.0047
Genetic,5,32,16,16,32,0,0.0056
Genetic,6,32,16,8,24,8,0.0044
Genetic,7,32,16,9,25,7,0.0044
Genetic,8,32,16,6,22,10,0.0043
Genetic,9,32,16,16,32,0,0.0054
Genetic,10,32,16,16,32,0,0.0054
Genetic,11,32,16,16,32,0,0.0054
Genetic,12,32,16,16,32,0,0.0054
Genetic,13,32,16,8,24,8,0.0044
Genetic,14,32,16,9,25,7,0.0046
Genetic,15,32,16,10,26,6,0.0048
Genetic,16,32,16,16,32,0,0.0056
Genetic,17,32,16,7,23,9,0.0043
Genetic,18,32,16,10,26,6,0.0049
Genetic,19,32,16,9,25,7,0.0047
Genetic,20,32,16,6,22,10,0.0043
Genetic,21,32,16,10,26,6,0.0048
Genetic,22,32,16,7,23,9,0.0044
Genetic,23,32,16,8,24,8,0.0046
Genetic,24,32,16,8,24,8,0.0044
Genetic,25,32,16,16,32,0,0.0057
Genetic,26,32,16,9,25,7,0.0046
Genetic,27,32,16,9,25,7,0.0047
Genetic,28,32,16,7,23,9,0.0045
Genetic,29,32,16,8,24,8,0.0045
Genetic,30,32,16,6,22,10,0.0044
