Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,32,16,10,26,6,0.0043
Normal,1,32,16,10,26,6,0.0043
Normal,2,32,16,10,26,6,0.0045
Normal,3,32,16,10,26,6,0.0043
Normal,4,32,16,10,26,6,0.0043
Normal,5,32,16,10,26,6,0.0042
Normal,6,32,16,10,26,6,0.0044
Normal,7,32,16,10,26,6,0.0044
Normal,8,32,16,10,26,6,0.0043
Normal,9,32,16,10,26,6,0.0043
Normal,10,32,16,10,26,6,0.0073
Normal,11,32,16,10,26,6,0.0045
Normal,12,32,16,10,26,6,0.0043
Normal,13,32,16,10,26,6,0.0042
Normal,14,32,16,10,26,6,0.0044
Normal,15,32,16,10,26,6,0.0042
Normal,16,32,16,10,26,6,0.0049
Normal,17,32,16,10,26,6,0.0044
Normal,18,32,16,10,26,6,0.0043
Normal,19,32,16,10,26,6,0.0043
Normal,20,32,16,10,26,6,0.0045
Normal,21,32,16,10,26,6,0.0043
Normal,22,32,16,10,26,6,0.0042
Normal,23,32,16,10,26,6,0.0046
Normal,24,32,16,10,26,6,0.0045
Normal,25,32,16,10,26,6,0.0045
Normal,26,32,16,10,26,6,0.0044
Normal,27,32,16,10,26,6,0.0043
Normal,28,32,16,10,26,6,0.0044
Normal,29,32,16,10,26,6,0.0044
Normal,30,32,16,10,26,6,0.0044
