Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,32,16,8,24,8,0.0039
Removed,1,32,16,8,24,8,0.0043
Removed,2,32,16,8,24,8,0.0048
Removed,3,32,16,8,24,8,0.004
Removed,4,32,16,8,24,8,0.004
Removed,5,32,16,8,24,8,0.004
Removed,6,32,16,8,24,8,0.0039
Removed,7,32,16,8,24,8,0.0041
Removed,8,32,16,8,24,8,0.0041
Removed,9,32,16,8,24,8,0.0039
Removed,10,32,16,8,24,8,0.004
Removed,11,32,16,8,24,8,0.0052
Removed,12,32,16,8,24,8,0.0043
Removed,13,32,16,8,24,8,0.0041
Removed,14,32,16,8,24,8,0.0039
Removed,15,32,16,8,24,8,0.0043
Removed,16,32,16,8,24,8,0.0041
Removed,17,32,16,8,24,8,0.0039
Removed,18,32,16,8,24,8,0.004
Removed,19,32,16,8,24,8,0.004
Removed,20,32,16,8,24,8,0.0042
Removed,21,32,16,8,24,8,0.004
Removed,22,32,16,8,24,8,0.004
Removed,23,32,16,8,24,8,0.0041
Removed,24,32,16,8,24,8,0.004
Removed,25,32,16,8,24,8,0.0041
Removed,26,32,16,8,24,8,0.0039
Removed,27,32,16,8,24,8,0.004
Removed,28,32,16,8,24,8,0.004
Removed,29,32,16,8,24,8,0.0047
Removed,30,32,16,8,24,8,0.004
