Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Random,0,1024,42,112,154,870,0.0432
Random,1,1024,42,117,159,865,0.0412
Random,2,1024,42,84,126,898,0.0362
Random,3,1024,42,184,226,798,0.0528
Random,4,1024,42,113,155,869,0.04
Random,5,1024,42,66,108,916,0.0319
Random,6,1024,42,121,163,861,0.0408
Random,7,1024,42,155,197,827,0.0472
Random,8,1024,42,105,147,877,0.0394
Random,9,1024,42,104,146,878,0.0385
Random,10,1024,42,162,204,820,0.0482
Random,11,1024,42,190,232,792,0.0523
Random,12,1024,42,111,153,871,0.0392
Random,13,1024,42,122,164,860,0.0409
Random,14,1024,42,137,179,845,0.0439
Random,15,1024,42,147,189,835,0.0462
Random,16,1024,42,154,196,828,0.0467
Random,17,1024,42,168,210,814,0.049
Random,18,1024,42,103,145,879,0.0382
Random,19,1024,42,94,136,888,0.0371
Random,20,1024,42,163,205,819,0.049
Random,21,1024,42,125,167,857,0.0414
Random,22,1024,42,146,188,836,0.0471
Random,23,1024,42,178,220,804,0.0517
Random,24,1024,42,114,156,868,0.0402
Random,25,1024,42,148,190,834,0.047
Random,26,1024,42,112,154,870,0.0396
Random,27,1024,42,124,166,858,0.0425
Random,28,1024,42,164,206,818,0.0491
Random,29,1024,42,130,172,852,0.0432
Random,30,1024,42,158,200,824,0.0488
