Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,1024,42,150,192,832,0.0461
Removed,1,1024,42,150,192,832,0.0458
Removed,2,1024,42,150,192,832,0.048
Removed,3,1024,42,150,192,832,0.0465
Removed,4,1024,42,150,192,832,0.0463
Removed,5,1024,42,150,192,832,0.0462
Removed,6,1024,42,150,192,832,0.0471
Removed,7,1024,42,150,192,832,0.0474
Removed,8,1024,42,150,192,832,0.0468
Removed,9,1024,42,150,192,832,0.0467
Removed,10,1024,42,150,192,832,0.0474
Removed,11,1024,42,150,192,832,0.0457
Removed,12,1024,42,150,192,832,0.0463
Removed,13,1024,42,150,192,832,0.0467
Removed,14,1024,42,150,192,832,0.0463
Removed,15,1024,42,150,192,832,0.0459
Removed,16,1024,42,150,192,832,0.0473
Removed,17,1024,42,150,192,832,0.0461
Removed,18,1024,42,150,192,832,0.0462
Removed,19,1024,42,150,192,832,0.0467
Removed,20,1024,42,150,192,832,0.0466
Removed,21,1024,42,150,192,832,0.0477
Removed,22,1024,42,150,192,832,0.0462
Removed,23,1024,42,150,192,832,0.0465
Removed,24,1024,42,150,192,832,0.0479
Removed,25,1024,42,150,192,832,0.0499
Removed,26,1024,42,150,192,832,0.0463
Removed,27,1024,42,150,192,832,0.0462
Removed,28,1024,42,150,192,832,0.0458
Removed,29,1024,42,150,192,832,0.0465
Removed,30,1024,42,150,192,832,0.0508
