Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,1024,42,73,115,909,0.0238
Genetic,1,1024,42,70,112,912,0.0237
Genetic,2,1024,42,73,115,909,0.0265
Genetic,3,1024,42,93,135,889,0.0298
Genetic,4,1024,42,106,148,876,0.0333
Genetic,5,1024,42,87,129,895,0.029
Genetic,6,1024,42,82,124,900,0.0279
Genetic,7,1024,42,79,121,903,0.0269
Genetic,8,1024,42,62,104,920,0.0238
Genetic,9,1024,42,95,137,887,0.0301
Genetic,10,1024,42,73,115,909,0.0264
Genetic,11,1024,42,74,116,908,0.0252
Genetic,12,1024,42,68,110,914,0.0257
Genetic,13,1024,42,68,110,914,0.025
Genetic,14,1024,42,75,117,907,0.0257
Genetic,15,1024,42,91,133,891,0.0302
Genetic,16,1024,42,64,106,918,0.0243
Genetic,17,1024,42,95,137,887,0.0297
Genetic,18,1024,42,78,120,904,0.0279
Genetic,19,1024,42,95,137,887,0.0294
Genetic,20,1024,42,87,129,895,0.0287
Genetic,21,1024,42,62,104,920,0.0235
Genetic,22,1024,42,75,117,907,0.0258
Genetic,23,1024,42,73,115,909,0.0273
Genetic,24,1024,42,87,129,895,0.0291
Genetic,25,1024,42,72,114,910,0.0257
Genetic,26,1024,42,72,114,910,0.0255
Genetic,27,1024,42,95,137,887,0.03
Genetic,28,1024,42,80,122,902,0.0269
Genetic,29,1024,42,84,126,898,0.0277
Genetic,30,1024,42,70,112,912,0.0248
