Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,1024,42,140,182,842,0.0452
Normal,1,1024,42,140,182,842,0.046
Normal,2,1024,42,140,182,842,0.0474
Normal,3,1024,42,140,182,842,0.0457
Normal,4,1024,42,140,182,842,0.0459
Normal,5,1024,42,140,182,842,0.0458
Normal,6,1024,42,140,182,842,0.0448
Normal,7,1024,42,140,182,842,0.0455
Normal,8,1024,42,140,182,842,0.0455
Normal,9,1024,42,140,182,842,0.0459
Normal,10,1024,42,140,182,842,0.0451
Normal,11,1024,42,140,182,842,0.0449
Normal,12,1024,42,140,182,842,0.0452
Normal,13,1024,42,140,182,842,0.0456
Normal,14,1024,42,140,182,842,0.0461
Normal,15,1024,42,140,182,842,0.0452
Normal,16,1024,42,140,182,842,0.0454
Normal,17,1024,42,140,182,842,0.0454
Normal,18,1024,42,140,182,842,0.0457
Normal,19,1024,42,140,182,842,0.0454
Normal,20,1024,42,140,182,842,0.0481
Normal,21,1024,42,140,182,842,0.0449
Normal,22,1024,42,140,182,842,0.0447
Normal,23,1024,42,140,182,842,0.0587
Normal,24,1024,42,140,182,842,0.0447
Normal,25,1024,42,140,182,842,0.0456
Normal,26,1024,42,140,182,842,0.045
Normal,27,1024,42,140,182,842,0.0454
Normal,28,1024,42,140,182,842,0.0461
Normal,29,1024,42,140,182,842,0.0453
Normal,30,1024,42,140,182,842,0.0449
