Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.145
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1212
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1295
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1547
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1431
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1612
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1613
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1184
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.0991
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.0947
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1211
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.12
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1194
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1209
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1151
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1152
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1146
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1224
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1126
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1292
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1129
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1135
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1151
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1729
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1142
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1212
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.122
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1176
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1182
Normal,0,187072209578355573530071658587684226515959365500928,0,20,20,187072209578355573530071658587684226515959365500908,0.1505
