Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,187072209578355573530071658587684226515959365500928,0,1,1,187072209578355573530071658587684226515959365500926,0
Removed,0,187072209578355573530071658587684226515959365500928,0,1,1,187072209578355573530071658587684226515959365500926,0
Removed,0,187072209578355573530071658587684226515959365500928,0,1,1,187072209578355573530071658587684226515959365500926,0
Removed,0,187072209578355573530071658587684226515959365500928,0,1,1,187072209578355573530071658587684226515959365500926,0
Removed,0,187072209578355573530071658587684226515959365500928,0,1,1,187072209578355573530071658587684226515959365500926,0
Removed,0,187072209578355573530071658587684226515959365500928,0,1,1,187072209578355573530071658587684226515959365500926,0
Removed,0,187072209578355573530071658587684226515959365500928,0,1,1,187072209578355573530071658587684226515959365500926,0
Removed,0,187072209578355573530071658587684226515959365500928,0,1,1,187072209578355573530071658587684226515959365500926,0
Removed,0,187072209578355573530071658587684226515959365500928,0,1,1,187072209578355573530071658587684226515959365500926,0
Removed,0,187072209578355573530071658587684226515959365500928,0,1,1,187072209578355573530071658587684226515959365500926,0
