Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Genetic,0,748288838313422294120286634350736906063837462003712,0,4,4,748288838313422294120286634350736906063837462003704,0.0
Genetic,1,748288838313422294120286634350736906063837462003712,432,252313,252745,748288838313422294120286634350736906063837461750965,1256.7125
Genetic,2,748288838313422294120286634350736906063837462003712,504,600022,600526,748288838313422294120286634350736906063837461403184,3610.8775
Genetic,3,748288838313422294120286634350736906063837462003712,432,935634,936066,748288838313422294120286634350736906063837461067644,6137.141
Genetic,4,748288838313422294120286634350736906063837462003712,432,1110912,1111344,748288838313422294120286634350736906063837460892366,9018.3252
Genetic,5,748288838313422294120286634350736906063837462003712,432,1337970,1338402,748288838313422294120286634350736906063837460665308,9443.694
Genetic,6,748288838313422294120286634350736906063837462003712,432,1563532,1563964,748288838313422294120286634350736906063837460439746,11612.1273
Genetic,7,748288838313422294120286634350736906063837462003712,432,2005496,2005928,748288838313422294120286634350736906063837459997782,14174.7289
Genetic,8,748288838313422294120286634350736906063837462003712,360,2175714,2176074,748288838313422294120286634350736906063837459827636,14906.9938
Genetic,9,748288838313422294120286634350736906063837462003712,864,9136098,9136962,748288838313422294120286634350736906063837452866750,33344.5452
