Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Normal,0,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,201.0755
Normal,1,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,217.6587
Normal,2,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,198.0491
Normal,3,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,211.997
Normal,4,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,209.4834
Normal,5,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,212.3611
Normal,6,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,220.0751
Normal,7,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,202.3723
Normal,8,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,209.0538
Normal,9,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,209.0537
Normal,10,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,199.5654
Normal,11,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,199.6504
Normal,12,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,200.1536
Normal,13,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,200.6191
Normal,14,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,201.3247
Normal,15,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,213.7071
Normal,16,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,213.895
Normal,17,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,214.6522
Normal,18,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,214.7976
Normal,19,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,216.8824
Normal,20,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,196.9284
Normal,21,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,197.1968
Normal,22,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,197.296
Normal,23,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,198.3024
Normal,24,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,199.0655
Normal,25,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,201.4843
Normal,26,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,201.449
Normal,27,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,202.6823
Normal,28,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,204.3554
Normal,29,748288838313422294120286634350736906063837462003712,432,24673,25105,748288838313422294120286634350736906063837461978605,206.7538
