Heuristic,Run,TotalTrees,ValidAnalyzed,InvalidAnalyzed,Analyzed,Avoid,Time(s)
Removed,0,748288838313422294120286634350736906063837462003712,432,144323,144755,748288838313422294120286634350736906063837461858954,1356.5368
Removed,1,748288838313422294120286634350736906063837462003712,432,144323,144755,748288838313422294120286634350736906063837461858954,1277.1644
Removed,2,748288838313422294120286634350736906063837462003712,432,144323,144755,748288838313422294120286634350736906063837461858954,1260.5187
Removed,3,748288838313422294120286634350736906063837462003712,432,144323,144755,748288838313422294120286634350736906063837461858954,1232.422
Removed,4,748288838313422294120286634350736906063837462003712,432,144323,144755,748288838313422294120286634350736906063837461858954,1232.8797
Removed,5,748288838313422294120286634350736906063837462003712,432,144323,144755,748288838313422294120286634350736906063837461858954,1267.6425
Removed,6,748288838313422294120286634350736906063837462003712,432,144323,144755,748288838313422294120286634350736906063837461858954,1280.0667
Removed,7,748288838313422294120286634350736906063837462003712,432,144323,144755,748288838313422294120286634350736906063837461858954,1280.9843
Removed,8,748288838313422294120286634350736906063837462003712,432,144323,144755,748288838313422294120286634350736906063837461858954,1286.4279
Removed,9,748288838313422294120286634350736906063837462003712,432,144323,144755,748288838313422294120286634350736906063837461858954,1420.591
