Model, Time_median(s), Time_mean(s), Time_stdev(s)
TankWar, 0.0232, 0.023336666666666665, 0.0008888129756856198
MobileMedia, 0.0244, 0.02434, 0.0007928995240081897
Pizzas_complex, 0.0217, 0.02186, 0.0007476860857061745
GPL_excerpt, 0.021449999999999997, 0.02247, 0.0026683521971950894
WeaFQAs, 0.07300000000000001, 0.07354333333333334, 0.0028602728750138904
Truck, 0.0239, 0.023813333333333332, 0.0010871453709009043
Akesson2019b, 0.03145, 0.03172333333333333, 0.0010271095477058455
JHipster, 0.025599999999999998, 0.025693333333333332, 0.001210566505553419
BerkeleyDB, 0.03475, 0.03501666666666667, 0.0015120398036480697
Horcas2022b, 0.04065, 0.04136, 0.002582247083452704
Oh2019, 0.021449999999999997, 0.021483333333333333, 0.000819622845701242
GPL, 0.05975, 0.061123333333333335, 0.0031564584402550703
Ghamizi2019, 3.205, 3.2202066666666664, 0.053652103685550456

