Model, Time_median(s), Time_mean(s), Time_stdev(s)
Akesson2019b_simple, 0.03655, 0.03680666666666667, 0.0014839214900073886
BerkeleyDB_simple, 0.0347, 0.03482, 0.0012197795165379344
Ghamizi2019_simple, 3.1981, 3.1972366666666665, 0.025077115317429934
GPL_excerpt_simple, 0.0223, 0.02231, 0.0007317197503849736
GPL_simple, 2.76645, 2.7719933333333335, 0.03319780771047405
Horcas2022b_simple, 0.6223000000000001, 0.6271166666666667, 0.012264697961709202
JHipster_simple, 0.13915, 0.14194333333333334, 0.00532590826531726
MobileMedia_simple, 0.0237, 0.023653333333333332, 0.0007518865162598231
Oh2019_simple, 0.08405, 0.08524, 0.003367757874825368
Pizzas_complex_simple, 0.0219, 0.021963333333333335, 0.0009290274237195524
TankWar_simple, 0.022949999999999998, 0.02285, 0.0009088643918421606
Truck_simple, 0.023350000000000003, 0.024023333333333334, 0.002235864923027102
WeaFQAs_simple, 0.07155, 0.07282333333333334, 0.00308463191045358
