Features,Constraints,FM_size(B),SAT_size(B),Reading(s),Transformation(s),ProductsNumber_op(s),CoreFeatures_op(s),DeadFeatures_op(s),Reading(B),Transformation(B),ProductsNumber_op(B),CoreFeatures_op(B),DeadFeatures_op(B),#Configs,#Cores,Cores,#Deads,Deads
45,13,42839,20822,0.1250935,0.002516477,5.576144139,0.00104086,0.000976993,724996,824537,861280,773345,775321,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12363542300000001,0.0026649530000000003,5.321373663,0.0007354410000000001,0.0006899230000000001,725028,824569,861312,773377,775353,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12383316800000001,0.002681961,5.311737535000001,0.0008450980000000001,0.000884291,725044,824585,861328,773393,775369,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.125034834,0.002604238,5.3608771090000005,0.000787653,0.000696786,725016,824557,861300,773365,775341,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.125207008,0.0026960720000000003,5.4357116670000005,0.000734102,0.0006945720000000001,725012,824553,861296,773361,775337,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12362113200000001,0.002683497,5.345912247,0.0007279070000000001,0.000691121,725024,824565,861308,773373,775349,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12523535900000002,0.002639086,5.3053339070000005,0.000732303,0.00068271,725024,824565,861308,773373,775349,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12072089000000001,0.0026436420000000003,5.358965295,0.0007302630000000001,0.000685288,725032,824573,861316,773381,775357,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.122961712,0.002682087,5.318102306,0.000771279,0.000680555,725024,824565,861308,773373,775349,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.123927981,0.00259053,5.303286883,0.0007438750000000001,0.000686438,725028,824569,861312,773377,775353,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.126084524,0.002919226,5.367233601000001,0.000734892,0.000685547,725024,824565,861308,773373,775349,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.129312012,0.002588509,5.311235464,0.000732117,0.0006860140000000001,725000,824541,861284,773349,775325,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.123736521,0.002777793,5.457474213,0.0018491800000000002,0.0012077770000000002,725024,824565,861308,773373,775349,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.126887105,0.0025786700000000004,5.344384823,0.0007406530000000001,0.000691842,725012,824553,861296,773361,775337,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12455694900000001,0.002597401,5.3516657400000005,0.000736857,0.000690797,725016,824557,861300,773365,775341,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.125135574,0.003230024,5.308993539,0.0007229700000000001,0.000681356,725008,824549,861292,773357,775333,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.125927599,0.002645246,5.350583215,0.000740623,0.000684763,725036,824577,861320,773385,775361,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12195291400000001,0.0025506020000000003,5.355594340000001,0.000735561,0.000742535,725028,824569,861312,773377,775353,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.123268135,0.002602324,5.284318837000001,0.000735259,0.0006875130000000001,725012,824553,861296,773361,775337,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.124830359,0.002961958,5.358181611,0.000744692,0.0006813,725032,824573,861316,773381,775357,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.125072697,0.0026327440000000002,5.2971502280000005,0.000730904,0.0006848010000000001,725020,824561,861304,773369,775345,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.124584788,0.002629431,5.38392577,0.0007266070000000001,0.000687242,725024,824565,861308,773373,775349,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12469693100000001,0.0028180550000000003,5.320427117,0.0007328500000000001,0.0006815,725036,824577,861320,773385,775361,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12273327900000001,0.002583657,5.379749865,0.000747888,0.000685438,725000,824541,861284,773349,775325,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12485309600000001,0.002709354,5.341606467,0.000738706,0.0006921840000000001,725032,824573,861316,773381,775357,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12239267000000001,0.002693289,5.339731296,0.000730927,0.000701606,725016,824557,861300,773365,775341,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12395663000000001,0.002570118,5.313281524000001,0.000750639,0.000693653,725024,824565,861308,773373,775349,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.124401353,0.0026172260000000003,5.2889570180000005,0.000743327,0.000690453,725020,824561,861304,773369,775345,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12327394400000001,0.002994024,5.336221319000001,0.000736455,0.000688411,725008,824549,861292,773357,775333,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
45,13,42839,20822,0.12289087300000001,0.002529489,5.307434391,0.000727902,0.0006880720000000001,725024,824565,861308,773373,775349,26256,7,"['JHipster', 'Generator', 'Authentication', 'BackEnd', 'TestingFrameworks', 'Gatling', 'Cucumber']",0,"[]"
