Features,Constraints,FM_size(B),SAT_size(B),Reading(s),Transformation(s),ProductsNumber_op(s),CoreFeatures_op(s),DeadFeatures_op(s),Reading(B),Transformation(B),ProductsNumber_op(B),CoreFeatures_op(B),DeadFeatures_op(B),#Configs,#Cores,Cores,#Deads,Deads
12,2,9407,5226,0.05217245,0.00052927,0.0005736830000000001,0.000210005,0.00017804500000000002,480621,541913,561301,515370,517309,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.051496988,0.0005140520000000001,0.0005725890000000001,0.000212222,0.00017956500000000002,480625,541917,561305,515374,517313,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.050337802,0.00050769,0.000569485,0.00021179,0.000178387,480601,541893,561281,515350,517289,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.053549636000000005,0.000513206,0.00057253,0.000210892,0.000180726,480597,541889,561277,515346,517285,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.050592920000000006,0.000511787,0.0005760800000000001,0.00021093200000000002,0.00017918300000000002,480617,541909,561297,515366,517305,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.05087258,0.000764599,0.0005717680000000001,0.00021867700000000002,0.00017936900000000002,480625,541917,561305,515374,517313,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.050845401000000005,0.000514454,0.000561416,0.00021057200000000002,0.000176264,480621,541913,561301,515370,517309,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.051779884000000005,0.0005114130000000001,0.0005769820000000001,0.000210585,0.00017763200000000002,480609,541901,561289,515358,517297,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.055360871000000006,0.000574285,0.0005698330000000001,0.000211883,0.00018252100000000002,480589,541881,561269,515338,517277,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.051582038000000004,0.00051057,0.00057239,0.000235421,0.00019156900000000002,480613,541905,561293,515362,517301,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.049717119000000004,0.0005372090000000001,0.000582199,0.00021928800000000002,0.000179864,480597,541889,561277,515346,517285,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.05093687,0.000507425,0.000568248,0.000210756,0.00017814800000000002,480605,541897,561285,515354,517293,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.051548913,0.000504334,0.000581233,0.00021583000000000003,0.000178796,480605,541897,561285,515354,517293,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.052426219,0.000523714,0.0007991890000000001,0.00022788000000000002,0.000181673,480601,541893,561281,515350,517289,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.06185472300000001,0.000931541,0.0009606580000000001,0.00041781200000000004,0.0003192,480609,541901,561289,515358,517297,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.104981897,0.000920331,0.000692632,0.00039331200000000005,0.00020973200000000002,480589,541881,561269,515338,517277,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.080927411,0.000551467,0.000609864,0.00023556800000000002,0.00018527000000000002,480601,541893,561281,515350,517289,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
12,2,9407,5226,0.073191323,0.001133567,0.000855542,0.00026335000000000003,0.00021585200000000002,480637,541929,561317,515386,517325,25,4,"['Pizza', 'Topping', 'Size', 'Dough']",0,"[]"
