Model, Tool, Runs, Cores, Constraints, Products, CoreFeatures, Time_median(s), Time_mean(s), Time_stdev(s)
TankWar, fmsans, 30, 128, 0, 1741824, 7, 0.0, 2e-05, 4.068381021724863e-05
Pizzas_complex, fmsans, 30, 128, 5, 25, 4, 0.088, 0.08864666666666667, 0.005870542084664421
WeaFQAs, fmsans, 30, 128, 7, 2.93e24, 1, 0.15525, 0.15703666666666666, 0.010275128435587368
MobileMedia, fmsans, 30, 128, 3, 2128896, 10, 0.0865, 0.08708333333333333, 0.0032349474582242087
Akesson2019b, fmsans, 30, 128, 19, 4.30e8, 7, 0.0877, 0.09016, 0.007935324776614051
Truck, fmsans, 30, 128, 10, 234, 8, 0.0916, 0.09367666666666667, 0.007745329330427571
GPL_excerpt, fmsans, 30, 128, 5, 36, 3, 0.08549999999999999, 0.08695, 0.003047073214153837
MTGCard2020, fmsans, 1, 128, 41, 6.89e214, 16, 155.1863, 155.1863, 0
Ghamizi2019, fmsans, 1, 128, 110, 5.06e162, 9, 30.7732, 30.7732, 0
Oh2019, fmsans, 1, 128, 61, 3840, 3, 0.2218, 0.2218, 0
axTLS, fmsans, 1, 128, 169, 6.52e10, 25, 1.2189, 1.2189, 0
Horcas2022b, fmsans, 1, 128, 61, 37706, 4, 0.4257, 0.4257, 0
BerkeleyDB, fmsans, 1, 128, 46, 4.08e9, 1, 0.4433, 0.4433, 0
JHipster, fmsans, 1, 128, 44, 26256, 7, 0.2359, 0.2359, 0
GPL, fmsans, 1, 128, 86, 107094, 5, 36.7822, 36.7822, 0
