Model, Tool, Runs, Cores, Constraints, Products, CoreFeatures, Time_median(s), Time_mean(s), Time_stdev(s), Subtrees
TankWar, fmsans, 30, 4, 0, 1741824, 7, 0.0, 2.3333333333333336e-05, 4.3018306715207635e-05, 0
Pizzas_complex, fmsans, 30, 4, 5, 25, 4, 0.0067, 0.006756666666666667, 0.0006795958907414346, 16
WeaFQAs, fmsans, 30, 4, 7, 2.93e24, 1, 0.0462, 0.047586666666666666, 0.004473503088750187, 128
MobileMedia, fmsans, 30, 4, 3, 2128896, 10, 0.00645, 0.006553333333333334, 0.0006500574687238646, 8
Akesson2019b, fmsans, 30, 4, 19, 4.30e8, 7, 0.0077, 0.00762, 0.000508818780828831, 7
Truck, fmsans, 30, 4, 10, 234, 8, 0.0092, 0.009663333333333333, 0.0015610525479532276, 42
GPL_excerpt, fmsans, 30, 4, 5, 36, 3, 0.007050000000000001, 0.007123333333333333, 0.0008504292357730133, 14
MTGCard2020, fmsans, 1, 4, 41, 6.89e214, 16, 211.0424, 211.0424, 0, 163728
Ghamizi2019, fmsans, 1, 4, 110, 5.06e162, 9, 28.2321, 28.2321, 0, 9330
Oh2019, fmsans, 1, 4, 61, 3840, 3, 0.0471, 0.0471, 0, 30
axTLS, fmsans, 1, 4, 169, 6.52e10, 25, 1.1506, 1.1506, 0, 432
Horcas2022b, fmsans, 1, 4, 61, 37706, 4, 0.1402, 0.1402, 0, 310
BerkeleyDB, fmsans, 1, 4, 46, 4.08e9, 1, 0.1764, 0.1764, 0, 656
JHipster, fmsans, 1, 4, 44, 26256, 7, 0.0458, 0.0458, 0, 79
GPL, fmsans, 1, 4, 86, 107094, 5, 48.4975, 48.4975, 0, 94770
