FM,Runs,Cores,Features,Constraints,Trees,Time(s)
JHipster,30,1,94,44,79,0.13318
JHipster,30,2,94,44,79,0.01486
JHipster,30,4,94,44,79,0.018186666666666667
JHipster,30,8,94,44,79,0.027026666666666668
JHipster,30,16,94,44,79,0.0354
JHipster,30,32,94,44,79,0.05845
JHipster,30,64,94,44,79,0.07326
JHipster,30,128,94,44,79,0.10451
JHipster,30,256,94,44,79,0.17326333333333332
JHipster,30,512,94,44,79,0.3531066666666667
JHipster,30,1024,94,44,79,0.89615
Oh2019,1,1,107,61,30,0.0266
Oh2019,1,2,107,61,30,0.0119
Oh2019,1,4,107,61,30,0.0178
Oh2019,1,8,107,61,30,0.031
Oh2019,1,16,107,61,30,0.0355
GPL,1,1,156,86,94770,47.4062
GPL,1,2,156,86,94770,44.1509
GPL,1,4,156,86,94770,44.6463
GPL,1,8,156,86,94770,47.557
GPL,1,16,156,86,94770,53.2788
GPL,1,32,156,86,94770,57.9717
Ghamizi2019,1,1,1761,110,9330,161.0208
Ghamizi2019,1,2,1761,110,9330,108.1617
Ghamizi2019,1,4,1761,110,9330,107.9782
Ghamizi2019,1,8,1761,110,9330,125.9871
Ghamizi2019,30,16,1761,110,9330,121.66030333333333
Ghamizi2019,1,32,1761,110,9330,120.9383
Ghamizi2019,1,64,1761,110,9330,125.1936
Ghamizi2019,1,128,1761,110,9330,127.0193
