Model, Tool, Runs, Cores, Constraints, Products, CoreFeatures, Time_median(s), Time_mean(s), Time_stdev(s)
TankWar, fmsans, 30, 64, 0, 1741824, 7, 0.0, 3e-05, 4.66091599699399e-05
Pizzas_complex, fmsans, 30, 64, 5, 25, 4, 0.04355, 0.044256666666666666, 0.0018889302452087444
WeaFQAs, fmsans, 30, 64, 7, 2.93e24, 1, 0.10335, 0.14056, 0.0732249137930527
MobileMedia, fmsans, 30, 64, 3, 2128896, 10, 0.04485, 0.04509333333333333, 0.0007820985621515616
Akesson2019b, fmsans, 30, 64, 19, 4.30e8, 7, 0.04575, 0.04623, 0.001745368254789684
Truck, fmsans, 30, 64, 10, 234, 8, 0.05245, 0.053233333333333334, 0.0032303873295396906
GPL_excerpt, fmsans, 30, 64, 5, 36, 3, 0.0453, 0.04563333333333333, 0.0010502325960220083
MTGCard2020, fmsans, 1, 64, 41, 6.89e214, 16, 151.22, 151.22, 0
Ghamizi2019, fmsans, 1, 64, 110, 5.06e162, 9, 27.1746, 27.1746, 0
Oh2019, fmsans, 1, 64, 61, 3840, 3, 0.1314, 0.1314, 0
axTLS, fmsans, 1, 64, 169, 6.52e10, 25, 0.9712, 0.9712, 0
Horcas2022b, fmsans, 1, 64, 61, 37706, 4, 0.2405, 0.2405, 0
BerkeleyDB, fmsans, 1, 64, 46, 4.08e9, 1, 0.2445, 0.2445, 0
JHipster, fmsans, 1, 64, 44, 26256, 7, 0.118, 0.118, 0
GPL, fmsans, 1, 64, 86, 107094, 5, 33.2917, 33.2917, 0
