Model, Tool, Runs, Cores, Constraints, Products, CoreFeatures, Time_median(s), Time_mean(s), Time_stdev(s)
MTGCard2020, fmsans, 1, 64, 41, 6.89e214, 16, 151.22, 151.22, 0
Ghamizi2019, fmsans, 1, 64, 110, 5.06e162, 9, 27.1746, 27.1746, 0
Oh2019, fmsans, 1, 64, 61, 3840, 3, 0.1314, 0.1314, 0
axTLS, fmsans, 1, 64, 169, 6.52e10, 25, 0.9712, 0.9712, 0
Horcas2022b, fmsans, 1, 64, 61, 37706, 4, 0.2405, 0.2405, 0
BerkeleyDB, fmsans, 1, 64, 46, 4.08e9, 1, 0.2445, 0.2445, 0
JHipster, fmsans, 1, 64, 44, 26256, 7, 0.118, 0.118, 0
GPL, fmsans, 1, 64, 86, 107094, 5, 33.2917, 33.2917, 0
Ghamizi2019, fmsans_gft, 1, 64, 110, 5.06e162, 9, 24.8925, 24.8925, 0, 21.212382
Oh2019, fmsans_gft, 1, 64, 61, 3840, 3, 0.0039, 0.0039, 0, 0.816393
axTLS, fmsans_gft, 1, 64, 169, 6.52e10, 25, 0.2327, 0.2327, 0, 21.643832
Horcas2022b, fmsans_gft, 1, 64, 61, 37706, 4, 0.0411, 0.0411, 0, 22.082023
BerkeleyDB, fmsans_gft, 1, 64, 46, 4.08e9, 1, 0.1343, 0.1343, 0, 40.916564
JHipster, fmsans_gft, 1, 64, 44, 26256, 7, 0.0109, 0.0109, 0, 39.144216
Oh2019, fmsans_gft, 1, 64, 61, 3840, 3, 0.0026, 0.0026, 0, 0.037905
axTLS, fmsans_gft, 1, 64, 169, 6.52e10, 25, 0.1279, 0.1279, 0, 21.279184
Horcas2022b, fmsans_gft, 1, 64, 61, 37706, 4, 0.0274, 0.0274, 0, 21.631098
BerkeleyDB, fmsans_gft, 1, 64, 46, 4.08e9, 1, 0.1342, 0.1342, 0, 25.79526
JHipster, fmsans_gft, 1, 64, 44, 26256, 7, 0.0115, 0.0115, 0, 18.301528
GPL, fmsans_gft, 1, 64, 86, 107094, 5, 15.8623, 15.8623, 0, 211.092099
Oh2019, fmsans, 1, 64, 61, 3840, 3, 0.1143, 0.1143, 0, 0.80476
axTLS, fmsans, 1, 64, 169, 6.52e10, 25, 2.1057, 2.1057, 0, 4.102491
Horcas2022b, fmsans, 1, 64, 61, 37706, 4, 0.4253, 0.4253, 0, 1.724008
BerkeleyDB, fmsans, 1, 64, 46, 4.08e9, 1, 0.4432, 0.4432, 0, 3.204026
JHipster, fmsans, 1, 64, 44, 26256, 7, 0.1744, 0.1744, 0, 1.32976
Oh2019, fmsans, 30, 64, 61, 3840, 3, 0.1062, 0.10939333333333333, 0.009474828115385097, 0.867465
axTLS, fmsans, 30, 64, 169, 6.52e10, 25, 1.96705, 2.00541, 0.0936744338212094, 4.2154035
Horcas2022b, fmsans, 30, 64, 61, 37706, 4, 0.34635, 0.41068333333333334, 0.11611577778482436, 2.043615
BerkeleyDB, fmsans, 30, 64, 46, 4.08e9, 1, 0.3963, 0.39922, 0.019987675513020338, 3.293181
JHipster, fmsans, 30, 64, 44, 26256, 7, 0.15545, 0.1794, 0.06233962596549037, 1.192382
Oh2019, fmsans_gft, 30, 64, 61, 3840, 3, 0.0024, 0.0024666666666666665, 0.00016259391627362758, 0.04559
axTLS, fmsans_gft, 30, 64, 169, 6.52e10, 25, 0.12635000000000002, 0.12698333333333334, 0.003082216324540569, 19.224115
Horcas2022b, fmsans_gft, 30, 64, 61, 37706, 4, 0.02715, 0.027093333333333334, 0.0011500924500570209, 21.047946
BerkeleyDB, fmsans_gft, 30, 64, 46, 4.08e9, 1, 0.1306, 0.13128, 0.0026749669672468984, 17.682584
JHipster, fmsans_gft, 30, 64, 44, 26256, 7, 0.01185, 0.011696666666666666, 0.0007997772678445665, 17.961568
