Model, Tool, Runs, Cores, #Products, #CoreFeatures, Time_median(s), Time_mean(s), Time_stdev(s)
MTGCard2020, fmsans, 1, 1, 6.89e214, 16, 910.3732, 910.3732, 0
Oh2019, fmsans, 1, 1, 3840, 3, 0.0818, 0.0818, 0
Horcas2022b, fmsans, 1, 1, 37706, 4, 0.3571, 0.3571, 0
BerkeleyDB, fmsans, 1, 1, 4.08e9, 1, 0.4509, 0.4509, 0
JHipster, fmsans, 1, 1, 26256, 7, 0.118, 0.118, 0
MTGCard2020, fmsans, 1, 2, 6.89e214, 16, 406.8163, 406.8163, 0
Oh2019, fmsans, 1, 2, 3840, 3, 0.0506, 0.0506, 0
Horcas2022b, fmsans, 1, 2, 37706, 4, 0.2109, 0.2109, 0
BerkeleyDB, fmsans, 1, 2, 4.08e9, 1, 0.2478, 0.2478, 0
JHipster, fmsans, 1, 2, 26256, 7, 0.0468, 0.0468, 0
MTGCard2020, fmsans, 1, 4, 6.89e214, 16, 226.5993, 226.5993, 0
Oh2019, fmsans, 1, 4, 3840, 3, 0.0304, 0.0304, 0
Horcas2022b, fmsans, 1, 4, 37706, 4, 0.1226, 0.1226, 0
BerkeleyDB, fmsans, 1, 4, 4.08e9, 1, 0.1268, 0.1268, 0
JHipster, fmsans, 1, 4, 26256, 7, 0.0307, 0.0307, 0
MTGCard2020, fmsans, 1, 8, 6.89e214, 16, 171.7393, 171.7393, 0
Oh2019, fmsans, 1, 8, 3840, 3, 0.0302, 0.0302, 0
Horcas2022b, fmsans, 1, 8, 37706, 4, 0.0933, 0.0933, 0
BerkeleyDB, fmsans, 1, 8, 4.08e9, 1, 0.0987, 0.0987, 0
JHipster, fmsans, 1, 8, 26256, 7, 0.0298, 0.0298, 0
MTGCard2020, fmsans, 1, 16, 6.89e214, 16, 172.6019, 172.6019, 0
Oh2019, fmsans, 1, 16, 3840, 3, 0.0438, 0.0438, 0
Horcas2022b, fmsans, 1, 16, 37706, 4, 0.0953, 0.0953, 0
BerkeleyDB, fmsans, 1, 16, 4.08e9, 1, 0.1071, 0.1071, 0
JHipster, fmsans, 1, 16, 26256, 7, 0.0417, 0.0417, 0
MTGCard2020, fmsans, 1, 32, 6.89e214, 16, 157.0983, 157.0983, 0
Oh2019, fmsans, 1, 32, 3840, 3, 0.0547, 0.0547, 0
Horcas2022b, fmsans, 1, 32, 37706, 4, 0.1347, 0.1347, 0
BerkeleyDB, fmsans, 1, 32, 4.08e9, 1, 0.144, 0.144, 0
JHipster, fmsans, 1, 32, 26256, 7, 0.0761, 0.0761, 0
MTGCard2020, fmsans, 1, 64, 6.89e214, 16, 165.7944, 165.7944, 0
Oh2019, fmsans, 1, 64, 3840, 3, 0.1687, 0.1687, 0
Horcas2022b, fmsans, 1, 64, 37706, 4, 0.2792, 0.2792, 0
BerkeleyDB, fmsans, 1, 64, 4.08e9, 1, 0.3868, 0.3868, 0
JHipster, fmsans, 1, 64, 26256, 7, 0.2012, 0.2012, 0
MTGCard2020, fmsans, 1, 128, 6.89e214, 16, 158.3109, 158.3109, 0
Oh2019, fmsans, 1, 128, 3840, 3, 0.1856, 0.1856, 0
Horcas2022b, fmsans, 1, 128, 37706, 4, 0.3697, 0.3697, 0
BerkeleyDB, fmsans, 1, 128, 4.08e9, 1, 0.3481, 0.3481, 0
JHipster, fmsans, 1, 128, 26256, 7, 0.1927, 0.1927, 0
