Model,Heuristic,Runs,CTC,TotalTrees,MedianAnalyzed,MeanAnalyzed,MinAnalyzed,MaxAnalyzed,MedianTime,MeanTime,MinTime,MaxTime,RatioAnalyzedAvoid,RatioAvoidAnalyzed,PercentageFinished
Pizza,Genetic,31,5.0,32,25,26.387096774193548,22,32,0.0047,0.004809677419354839,0.0043,0.0057,3.5714285714285716,0.28,100.0
MobileMedia2,Genetic,31,3.0,8,8,8,8,8,0.0029,0.002929032258064516,0.0028,0.0045,0,0.0,100.0
ApoGames,Genetic,31,19.0,524288,89,92.48387096774194,76,148,0.0202,0.021629032258064517,0.0177,0.0364,0.00016978738422503505,5.88e3,99.99732971191406
BerkeleyDb,Genetic,31,46.0,70368744177664,10817,11772.774193548386,4637,30774,5.2385,5.8933193548387095,1.7712,15.7081,1.5371881547800013e-10,6.50e9,99.9999999999801
Truck,Genetic,31,10.0,1024,117,121.29032258064517,104,148,0.0269,0.027074193548387096,0.0235,0.0333,0.12899669239250275,7.e0,100.0
JHipster,Genetic,31,44.0,17592186044416,5188,5276.774193548387,2166,8661,1.9209,1.9791612903225806,0.9439,3.6905,2.9490365713705806e-10,3.39e9,99.9999999999261
Graph,Genetic,31,61.0,2305843009213693952,15932,15887.58064516129,9192,20942,12.9828,12.813922580645162,7.8418,15.991,6.909403604815671e-15,1.44e14,100.0
FQAs,Genetic,31,7.0,128,128,128,128,128,0.1149,0.11562903225806452,0.1122,0.1258,0,0.0,100.0
Oh2019,Genetic,31,61.0,2305843009213693952,4647,4753.709677419355,3361,7453,4.3396,4.329319354838709,2.5551,5.9212,2.0153149982160596e-15,4.96e14,100.0
MTG,Genetic,31,41.0,2199023255552,820592,889640.3548387097,382221,1902214,1791.6076,1978.9070451612904,667.6771,4915.5986,3.731621774109598e-07,2.67e6,99.99999999936335
Gpl,Genetic,31,86.0,77371252455336267181195264,3435556,4211206.193548387,1126680,10259812,4119.2815,5722.292780645162,942.3535,17573.4053,4.4403520570941087e-20,2.25e19,100.0

