Model,Heuristic,Runs,CTC,TotalTrees,MedianAnalyzed,MeanAnalyzed,MinAnalyzed,MaxAnalyzed,MedianTime,MeanTime,MinTime,MaxTime,RatioAnalyzedAvoid,RatioAvoidAnalyzed,PercentageFinished
Pizza,Normal,31,5.0,32,26,26,26,26,0.0044,0.004470967741935484,0.0042,0.0073,4.333333333333333,0.23076923076923078,100.0
MobileMedia2,Normal,31,3.0,8,8,8,8,8,0.0027,0.0026935483870967744,0.0026,0.0031,0,0.0,100.0
ApoGames,Normal,31,19.0,524288,100,100,100,100,0.0454,0.04282903225806452,0.0291,0.0595,0.00019077598130395383,5.24e3,99.99752044677734
BerkeleyDb,Normal,31,46.0,70368744177664,114192,114192,114192,114192,13.5773,13.566674193548387,13.0754,14.0518,1.6227659242717164e-09,6.16e8,100.0
Truck,Normal,31,10.0,1024,182,182,182,182,0.0454,0.04597096774193549,0.0447,0.0587,0.2161520190023753,4.e0,100.0
JHipster,Normal,31,44.0,17592186044416,3509,3509,3509,3509,0.9946,1.0036709677419355,0.8702,1.1776,1.9946355682242907e-10,5.01e9,99.9999999999659
Graph,Normal,32,61.0,2.305843009213694e+18,12438.0,12059,310,12438,3.3532,3.2741625,0.3878,3.4888,5.394122648549911e-15,1.85e16,100.0
FQAs,Normal,31,7.0,128,128,128,128,128,0.1106,0.11112580645161291,0.1068,0.12,0,0.0,100.0
Oh2019,Normal,31,61.0,2305843009213693952,3110,3110,3110,3110,2.5322,2.53781935483871,2.5008,2.5927,1.3487475025719693e-15,7.41e14,100.0
MTG,Normal,31,41.0,2199023255552,1388800,1388800,1388800,1388800,1261.8062,1265.1443870967742,1242.7945,1295.704,6.315535197707178e-07,1.58e6,100.0
Gpl,Normal,31,86.0,77371252455336267181195264,2841186,2841186,2841186,2841186,2449.1687,2448.9382,2426.0319,2485.7984,3.6721468372766976e-20,2.72e19,100.0

