Model,Heuristic,Runs,CTC,TotalTrees,MedianAnalyzed,MeanAnalyzed,MinAnalyzed,MaxAnalyzed,MedianTime,MeanTime,MinTime,MaxTime,RatioAnalyzedAvoid,RatioAvoidAnalyzed,PercentageFinished
Pizza,Removed,31,5.0,32,24,24,24,24,0.004,0.0041225806451612905,0.0039,0.0052,3.0,0.3333333333333333,100.0
MobileMedia2,Removed,31,3.0,8,8,8,8,8,0.0027,0.0027387096774193547,0.0025,0.0042,0,0.0,100.0
ApoGames,Removed,31,19.0,524288,84,84,84,84,0.0277,0.02867741935483871,0.0269,0.039,0.00016024693289278145,6.24e3,99.99752044677734
BerkeleyDb,Removed,31,46.0,70368744177664,65166,65166,65166,65166,11.7371,11.734838709677419,11.5617,11.9957,9.260645592285809e-10,1.07e9,99.99999999998579
Truck,Removed,31,10.0,1024,192,192,192,192,0.0465,0.04683548387096774,0.0457,0.0508,0.23076923076923078,4.e0,100.0
JHipster,Removed,31,44.0,17592186044416,3033,3033,3033,3033,1.5881,1.5848935483870967,1.427,1.7582,1.7240608943468198e-10,5.80e9,99.9999999999261
Graph,Removed,31,61.0,2305843009213693952,3660,3660,3660,3660,2.8035,2.8003225806451613,2.7421,2.852,1.587271980518781e-15,6.30e14,100.0
FQAs,Removed,31,7.0,128,128,128,128,128,0.1123,0.11243870967741935,0.1058,0.1247,0,0.0,100.0
Oh2019,Removed,31,61.0,2305843009213693952,2777,2777,2777,2777,3.7351,3.7401870967741937,3.6854,3.8215,1.2043317731968997e-15,8.30e14,100.0
MTG,Removed,31,41.0,2199023255552,1154031,1154031,1154031,1154031,2401.4907,2401.9730322580644,2368.681,2439.8006,5.247928155015528e-07,1.90e6,99.99999999936335
Gpl,Removed,31,86.0,77371252455336267181195264,1284422,1284422,1284422,1284422,1490.7823,1489.6335096774194,1474.6937,1507.1046,1.660076526150914e-20,6.02e19,100.0

Gpl,Removed,31,86.0,77371252455336267181195264,1284422,1284422,1284422,1284422,1490.7823,1489.6335096774194,1474.6937,1507.1046,1.660076526150914e-20,6.02e19,100.0
Ghamizi,Removed,10,110.00000000000001,1.298074214633707e+33,316289.0,316289,316289,316289,3139.658,3204.74907,2769.0667,3588.0066,2.4366018247211778e-28,4..1e20,100.0
Ghamizi,Removed,10,110.00000000000001,1.298074214633707e+33,316289.0,316289,316289,316289,3139.658,3204.74907,2769.0667,3588.0066,2.4366018247211778e-28,4..1e20,100.0
Ghamizi,Removed,10,110.00000000000001,1.298074214633707e+33,316289.0,316289,316289,316289,3139.658,3204.74907,2769.0667,3588.0066,2.4366018247211778e-28,4.10e27,100.0
Ghamizi,Removed,10,110.00000000000001,1.298074214633707e+33,316289.0,316289,316289,316289,3139.658,3204.74907,2769.0667,3588.0066,2.4366018247211778e-28,4.10e27,100.0
axTLS,Removed,10,169.0,7.482888383134223e+50,144755.0,144755,144755,144755,1278.61555,1289.5234,1232.422,1420.591,1.934480278046979e-46,5.16e45,100.0
